RBCH P
6/0/0/0 0
5/1/0/0 0
5/0/0/1 0
5/0/1/0 5
4/2/0/0 0
4/1/0/1 7
4/1/1/0 5
4/0/0/2 0
4/0/1/1 4
4/0/2/0 8
3/3/0/0 1
3/2/0/1 7
3/2/1/0 4
3/1/0/2 18
3/1/1/1 14
3/1/2/0 9
3/0/0/3 0
3/0/1/2 5
3/0/2/1 8
3/0/3/0 12
2/4/0/0 0
2/3/0/1 20
2/3/1/0 5
2/2/0/2 21
2/2/1/1 14
2/2/2/0 10
2/1/0/3 17
2/1/1/2 16
2/1/2/1 25
2/1/3/0 13
2/0/0/4 0
2/0/1/3 4
2/0/2/2 11
2/0/3/1 17
2/0/4/0 20
1/5/0/0 0
1/4/0/1 11
1/4/1/0 6
1/3/0/2 20
1/3/1/1 16
1/3/2/0 9
1/2/0/3 25
1/2/1/2 35
1/2/2/1 32
1/2/3/0 13
1/1/0/4 20
1/1/1/3 16
1/1/2/2 28
1/1/3/1 23
1/1/4/0 18
1/0/0/5 0
1/0/1/4 9
1/0/2/3 10
1/0/3/2 16
1/0/4/1 21
1/0/5/0 20
0/6/0/0 1
0/5/0/1 13
0/5/1/0 3
0/4/0/2 21
0/4/1/1 25
0/4/2/0 10
0/3/0/3 26
0/3/1/2 16
0/3/2/1 17
0/3/3/0 13
0/2/0/4 22
0/2/1/3 33
0/2/2/2 35
0/2/3/1 22
0/2/4/0 18
0/1/0/5 16
0/1/1/4 22
0/1/2/3 18
0/1/3/2 31
0/1/4/1 29
0/1/5/0 20
0/0/0/6 0
0/0/1/5 5
0/0/2/4 10
0/0/3/3 17
0/0/4/2 23
0/0/5/1 19
0/0/6/0 23
