RBCH P
10/0/0/0 0
9/1/0/0 0
9/0/0/1 0
9/0/1/0 5
8/2/0/0 0
8/1/0/1 3
8/1/1/0 5
8/0/0/2 0
8/0/1/1 5
8/0/2/0 10
7/3/0/0 0
7/2/0/1 12
7/2/1/0 4
7/1/0/2 8
7/1/1/1 13
7/1/2/0 10
7/0/0/3 0
7/0/1/2 2
7/0/2/1 9
7/0/3/0 12
6/4/0/0 0
6/3/0/1 20
6/3/1/0 4
6/2/0/2 21
6/2/1/1 14
6/2/2/0 10
6/1/0/3 13
6/1/1/2 23
6/1/2/1 23
6/1/3/0 15
6/0/0/4 0
6/0/1/3 5
6/0/2/2 10
6/0/3/1 13
6/0/4/0 16
5/5/0/0 1
5/4/0/1 22
5/4/1/0 5
5/3/0/2 23
5/3/1/1 30
5/3/2/0 9
5/2/0/3 17
5/2/1/2 30
5/2/2/1 20
5/2/3/0 12
5/1/0/4 16
5/1/1/3 19
5/1/2/2 24
5/1/3/1 24
5/1/4/0 17
5/0/0/5 0
5/0/1/4 7
5/0/2/3 10
5/0/3/2 17
5/0/4/1 21
5/0/5/0 20
4/6/0/0 0
4/5/0/1 14
4/5/1/0 2
4/4/0/2 20
4/4/1/1 26
4/4/2/0 10
4/3/0/3 26
4/3/1/2 25
4/3/2/1 26
4/3/3/0 13
4/2/0/4 24
4/2/1/3 21
4/2/2/2 29
4/2/3/1 29
4/2/4/0 18
4/1/0/5 15
4/1/1/4 21
4/1/2/3 23
4/1/3/2 32
4/1/4/1 21
4/1/5/0 25
4/0/0/6 0
4/0/1/5 9
4/0/2/4 10
4/0/3/3 14
4/0/4/2 27
4/0/5/1 24
4/0/6/0 24
3/7/0/0 1
3/6/0/1 16
3/6/1/0 5
3/5/0/2 20
3/5/1/1 22
3/5/2/0 9
3/4/0/3 29
3/4/1/2 31
3/4/2/1 16
3/4/3/0 14
3/3/0/4 33
3/3/1/3 19
3/3/2/2 39
3/3/3/1 23
3/3/4/0 14
3/2/0/5 25
3/2/1/4 33
3/2/2/3 37
3/2/3/2 35
3/2/4/1 39
3/2/5/0 21
3/1/0/6 15
3/1/1/5 22
3/1/2/4 29
3/1/3/3 32
3/1/4/2 34
3/1/5/1 29
3/1/6/0 26
3/0/0/7 0
3/0/1/6 5
3/0/2/5 6
3/0/3/4 9
3/0/4/3 12
3/0/5/2 21
3/0/6/1 28
3/0/7/0 32
2/8/0/0 1
2/7/0/1 5
2/7/1/0 5
2/6/0/2 32
2/6/1/1 28
2/6/2/0 10
2/5/0/3 24
2/5/1/2 20
2/5/2/1 14
2/5/3/0 14
2/4/0/4 45
2/4/1/3 43
2/4/2/2 25
2/4/3/1 21
2/4/4/0 17
2/3/0/5 33
2/3/1/4 40
2/3/2/3 39
2/3/3/2 31
2/3/4/1 34
2/3/5/0 22
2/2/0/6 28
2/2/1/5 36
2/2/2/4 38
2/2/3/3 36
2/2/4/2 38
2/2/5/1 28
2/2/6/0 27
2/1/0/7 18
2/1/1/6 23
2/1/2/5 27
2/1/3/4 25
2/1/4/3 34
2/1/5/2 38
2/1/6/1 29
2/1/7/0 26
2/0/0/8 0
2/0/1/7 4
2/0/2/6 10
2/0/3/5 15
2/0/4/4 18
2/0/5/3 19
2/0/6/2 28
2/0/7/1 25
2/0/8/0 32
1/9/0/0 1
1/8/0/1 8
1/8/1/0 4
1/7/0/2 26
1/7/1/1 19
1/7/2/0 10
1/6/0/3 23
1/6/1/2 24
1/6/2/1 30
1/6/3/0 16
1/5/0/4 33
1/5/1/3 32
1/5/2/2 30
1/5/3/1 29
1/5/4/0 18
1/4/0/5 38
1/4/1/4 42
1/4/2/3 47
1/4/3/2 43
1/4/4/1 31
1/4/5/0 22
1/3/0/6 41
1/3/1/5 24
1/3/2/4 46
1/3/3/3 44
1/3/4/2 41
1/3/5/1 32
1/3/6/0 29
1/2/0/7 18
1/2/1/6 32
1/2/2/5 32
1/2/3/4 41
1/2/4/3 46
1/2/5/2 48
1/2/6/1 37
1/2/7/0 32
1/1/0/8 18
1/1/1/7 30
1/1/2/6 31
1/1/3/5 38
1/1/4/4 32
1/1/5/3 39
1/1/6/2 43
1/1/7/1 39
1/1/8/0 36
1/0/0/9 0
1/0/1/8 5
1/0/2/7 5
1/0/3/6 11
1/0/4/5 23
1/0/5/4 30
1/0/6/3 22
1/0/7/2 31
1/0/8/1 32
1/0/9/0 38
0/10/0/0 0
0/9/0/1 18
0/9/1/0 4
0/8/0/2 36
0/8/1/1 17
0/8/2/0 9
0/7/0/3 20
0/7/1/2 31
0/7/2/1 18
0/7/3/0 16
0/6/0/4 41
0/6/1/3 38
0/6/2/2 36
0/6/3/1 38
0/6/4/0 14
0/5/0/5 25
0/5/1/4 41
0/5/2/3 34
0/5/3/2 45
0/5/4/1 43
0/5/5/0 23
0/4/0/6 47
0/4/1/5 33
0/4/2/4 43
0/4/3/3 33
0/4/4/2 35
0/4/5/1 42
0/4/6/0 23
0/3/0/7 31
0/3/1/6 48
0/3/2/5 36
0/3/3/4 55
0/3/4/3 53
0/3/5/2 42
0/3/6/1 49
0/3/7/0 32
0/2/0/8 33
0/2/1/7 35
0/2/2/6 38
0/2/3/5 45
