RBCH P
0/4/5/2 55
0/4/6/1 42
0/4/7/0 29
0/3/0/8 22
0/3/1/7 46
0/3/2/6 45
0/3/3/5 44
0/3/4/4 43
0/3/5/3 56
0/3/6/2 43
0/3/7/1 32
0/3/8/0 33
0/2/0/9 36
0/2/1/8 38
0/2/2/7 39
0/2/3/6 55
0/2/4/5 44
0/2/5/4 50
0/2/6/3 51
0/2/7/2 61
0/2/8/1 43
0/2/9/0 38
0/1/0/10 15
0/1/1/9 15
0/1/2/8 22
0/1/3/7 38
0/1/4/6 39
0/1/5/5 42
0/1/6/4 40
0/1/7/3 50
0/1/8/2 50
0/1/9/1 53
0/1/10/0 40
0/0/0/11 0
0/0/1/10 6
0/0/2/9 12
0/0/3/8 15
0/0/4/7 13
0/0/5/6 24
0/0/6/5 23
0/0/7/4 31
0/0/8/3 30
0/0/9/2 40
0/0/10/1 41
0/0/11/0 42
