RBCH P
5/1/2/2 22
4/0/5/1 22
4/1/5/0 25
0/1/1/8 27
0/2/1/7 44
3/1/3/3 34
2/0/3/5 12
5/0/3/2 15
4/1/3/2 28
5/1/3/1 22
3/0/2/5 10
3/0/3/4 21
1/0/5/4 23
3/1/2/4 26
0/0/2/8 11
0/0/3/7 14
0/1/2/7 24
5/0/1/4 6
5/1/1/3 18
1/3/3/3 49
1/4/1/4 41
1/2/0/7 25
3/3/3/1 27
4/3/3/0 14
1/6/3/0 14
1/7/2/0 7
2/6/2/0 9
0/0/7/3 28
0/0/8/2 33
2/1/3/4 29
2/6/0/2 34
0/5/3/2 38
0/5/4/1 29
0/6/3/1 25
1/1/8/0 32
2/0/8/0 29
2/2/3/3 33
5/4/1/0 5
6/4/0/0 0
3/3/4/0 16
4/2/4/0 15
1/0/8/1 29
6/0/1/3 6
6/0/2/2 10
4/1/1/4 23
5/1/0/4 16
4/1/4/1 22
0/2/6/2 53
0/3/6/1 44
1/2/6/1 41
2/0/4/4 19
2/0/5/3 22
2/1/4/3 33
0/3/2/5 31
0/4/2/4 47
0/1/6/3 42
1/1/5/3 35
1/3/5/1 34
3/5/0/2 19
4/4/0/2 28
1/3/0/6 28
1/3/1/5 41
4/0/0/6 0
4/0/1/5 5
4/1/0/5 15
5/0/0/5 0
1/5/0/4 32
1/6/0/3 42
2/5/0/3 25
0/5/1/4 28
0/5/2/3 47
0/6/1/3 23
0/6/2/2 26
0/7/1/2 28
0/1/7/2 45
0/1/8/1 40
0/2/7/1 40
1/1/7/1 44
3/5/1/1 22
4/0/2/4 7
4/0/3/3 14
4/1/2/3 21
5/0/2/3 6
0/10/0/0 1
1/9/0/0 0
3/3/0/4 30
3/4/0/3 26
0/0/0/10 0
0/0/1/9 4
0/1/0/9 22
0/2/5/3 53
0/3/4/3 52
0/8/0/2 21
0/9/0/1 20
1/8/0/1 16
5/3/0/2 26
5/4/0/1 7
2/3/1/4 41
0/8/1/1 27
0/8/2/0 9
0/9/1/0 4
1/8/1/0 5
1/0/6/3 27
1/0/7/2 33
1/1/6/2 34
2/4/1/3 29
0/0/9/1 35
0/0/10/0 39
0/1/9/0 32
1/0/9/0 35
2/2/0/6 30
2/3/0/5 45
3/2/0/5 31
2/0/6/2 29
2/0/7/1 31
2/2/1/5 29
3/1/1/5 24
0/4/0/6 30
0/4/1/5 41
0/5/0/5 33
1/4/0/5 44
2/5/2/1 30
8/0/2/0 8
8/1/1/0 4
2/2/6/0 27
2/3/5/0 21
3/2/5/0 21
4/5/0/1 13
4/5/1/0 4
5/5/0/0 0
1/1/3/5 34
2/1/2/5 35
6/3/0/1 21
1/0/0/9 0
1/0/1/8 6
1/1/0/8 20
2/3/2/3 32
2/3/3/2 47
2/4/2/2 46
3/6/0/1 25
3/6/1/0 4
4/6/0/0 0
6/3/1/0 4
0/1/4/5 39
0/1/5/4 34
1/1/4/4 39
1/4/3/2 33
1/4/4/1 36
1/5/3/1 26
2/0/0/8 0
2/0/1/7 7
2/1/0/7 15
3/0/0/7 0
3/2/1/4 38
1/1/1/7 28
1/2/1/6 33
2/1/1/6 23
9/0/1/0 5
9/1/0/0 0
10/0/0/0 0
4/2/3/1 32
4/3/2/1 20
2/4/3/1 30
2/4/4/0 19
2/5/3/0 11
4/2/0/4 22
4/2/1/3 30
4/3/0/3 29
5/2/0/3 17
1/0/2/7 7
1/0/3/6 14
1/1/2/6 25
2/0/2/6 11
3/3/1/3 32
3/4/1/2 19
4/3/1/2 35
8/0/0/2 0
8/1/0/1 8
9/0/0/1 0
2/3/4/1 19
3/2/4/1 23
3/0/6/1 24
3/0/7/0 28
3/1/6/0 23
4/0/6/0 25
1/2/4/3 40
1/2/5/2 43
1/3/4/2 47
2/2/4/2 38
3/0/4/3 22
3/0/5/2 26
3/1/4/2 23
4/0/4/2 18
7/0/1/2 5
7/0/2/1 10
7/1/1/1 16
8/0/1/1 4
5/2/3/0 13
5/3/2/0 9
3/4/2/1 27
3/4/3/0 14
3/5/2/0 8
4/4/2/0 7
5/0/4/1 16
5/0/5/0 23
5/1/4/0 20
6/0/4/0 19
5/2/1/2 27
5/2/2/1 22
5/3/1/1 14
6/2/1/1 28
1/2/2/5 44
1/3/2/4 36
2/2/2/4 33
1/6/2/1 25
1/7/1/1 13
2/6/1/1 18
3/2/2/3 52
3/2/3/2 28
3/3/2/2 30
4/2/2/2 24
2/7/0/1 19
2/7/1/0 5
2/8/0/0 0
3/7/0/0 0
6/1/2/1 18
6/1/3/0 13
6/2/2/0 8
7/1/2/0 9
6/1/0/3 17
6/1/1/2 20
6/2/0/2 20
7/1/0/2 5
0/2/3/5 49
0/2/4/4 38
0/3/3/4 32
1/2/3/4 41
7/2/0/1 16
7/2/1/0 5
7/3/0/0 0
8/2/0/0 0
2/1/5/2 29
2/1/6/1 38
2/2/5/1 33
3/1/5/1 27
1/5/1/3 36
1/5/2/2 34
1/6/1/2 28
2/5/1/2 23
