RBCH P
9/0/0/0 0
8/1/0/0 0
8/0/0/1 0
8/0/1/0 6
7/2/0/0 0
7/1/0/1 15
7/1/1/0 5
7/0/0/2 0
7/0/1/1 10
7/0/2/0 19
6/3/0/0 0
6/2/0/1 22
6/2/1/0 10
6/1/0/2 11
6/1/1/1 23
6/1/2/0 20
6/0/0/3 0
6/0/1/2 8
6/0/2/1 11
6/0/3/0 28
5/4/0/0 1
5/3/0/1 11
5/3/1/0 12
5/2/0/2 22
5/2/1/1 23
5/2/2/0 18
5/1/0/3 14
5/1/1/2 30
5/1/2/1 29
5/1/3/0 29
5/0/0/4 0
5/0/1/3 8
5/0/2/2 15
5/0/3/1 25
5/0/4/0 30
4/5/0/0 0
4/4/0/1 13
4/4/1/0 11
4/3/0/2 28
4/3/1/1 26
4/3/2/0 22
4/2/0/3 16
4/2/1/2 30
4/2/2/1 21
4/2/3/0 32
4/1/0/4 16
4/1/1/3 29
4/1/2/2 40
4/1/3/1 35
4/1/4/0 39
4/0/0/5 0
4/0/1/4 10
4/0/2/3 18
4/0/3/2 28
4/0/4/1 27
4/0/5/0 37
3/6/0/0 1
3/5/0/1 28
3/5/1/0 9
3/4/0/2 22
3/4/1/1 24
3/4/2/0 23
3/3/0/3 19
3/3/1/2 20
3/3/2/1 28
3/3/3/0 25
3/2/0/4 18
3/2/1/3 43
3/2/2/2 43
3/2/3/1 31
3/2/4/0 28
3/1/0/5 22
3/1/1/4 23
3/1/2/3 35
3/1/3/2 26
3/1/4/1 48
3/1/5/0 42
3/0/0/6 0
3/0/1/5 10
3/0/2/4 17
3/0/3/3 13
3/0/4/2 25
3/0/5/1 36
3/0/6/0 40
2/7/0/0 1
2/6/0/1 12
2/6/1/0 10
2/5/0/2 35
2/5/1/1 33
2/5/2/0 18
2/4/0/3 23
2/4/1/2 26
2/4/2/1 40
2/4/3/0 24
2/3/0/4 21
2/3/1/3 41
2/3/2/2 40
2/3/3/1 40
2/3/4/0 35
2/2/0/5 24
2/2/1/4 38
2/2/2/3 33
2/2/3/2 47
2/2/4/1 43
2/2/5/0 47
2/1/0/6 24
2/1/1/5 27
2/1/2/4 33
2/1/3/3 52
2/1/4/2 53
2/1/5/1 48
2/1/6/0 31
2/0/0/7 0
2/0/1/6 7
2/0/2/5 9
2/0/3/4 21
2/0/4/3 27
2/0/5/2 23
2/0/6/1 39
2/0/7/0 50
1/8/0/0 0
1/7/0/1 28
1/7/1/0 10
1/6/0/2 25
1/6/1/1 30
1/6/2/0 11
1/5/0/3 30
1/5/1/2 26
1/5/2/1 39
1/5/3/0 20
1/4/0/4 62
1/4/1/3 31
1/4/2/2 35
1/4/3/1 31
1/4/4/0 29
1/3/0/5 34
1/3/1/4 40
1/3/2/3 41
1/3/3/2 45
1/3/4/1 48
1/3/5/0 34
1/2/0/6 34
1/2/1/5 31
1/2/2/4 44
1/2/3/3 49
1/2/4/2 47
1/2/5/1 55
1/2/6/0 40
1/1/0/7 26
1/1/1/6 21
1/1/2/5 36
1/1/3/4 35
1/1/4/3 51
1/1/5/2 47
1/1/6/1 44
1/1/7/0 38
1/0/0/8 0
1/0/1/7 9
1/0/2/6 12
1/0/3/5 23
1/0/4/4 29
1/0/5/3 35
1/0/6/2 33
1/0/7/1 48
1/0/8/0 42
0/9/0/0 2
0/8/0/1 18
0/8/1/0 11
0/7/0/2 25
0/7/1/1 32
0/7/2/0 18
0/6/0/3 39
0/6/1/2 32
0/6/2/1 33
0/6/3/0 21
0/5/0/4 35
0/5/1/3 36
0/5/2/2 45
0/5/3/1 40
0/5/4/0 33
0/4/0/5 29
0/4/1/4 32
0/4/2/3 51
0/4/3/2 41
0/4/4/1 40
0/4/5/0 31
0/3/0/6 37
0/3/1/5 48
0/3/2/4 48
0/3/3/3 37
0/3/4/2 49
0/3/5/1 54
0/3/6/0 35
0/2/0/7 31
0/2/1/6 27
0/2/2/5 38
0/2/3/4 51
0/2/4/3 44
0/2/5/2 52
0/2/6/1 42
0/2/7/0 53
0/1/0/8 22
0/1/1/7 28
0/1/2/6 27
0/1/3/5 37
0/1/4/4 41
0/1/5/3 52
0/1/6/2 55
0/1/7/1 58
0/1/8/0 49
0/0/0/9 0
0/0/1/8 1
0/0/2/7 19
0/0/3/6 18
0/0/4/5 30
0/0/5/4 29
0/0/6/3 42
0/0/7/2 44
0/0/8/1 43
0/0/9/0 55
