RBCH P
6/0/0/0 0
5/1/0/0 0
5/0/0/1 0
5/0/1/0 5
4/2/0/0 1
4/1/0/1 8
4/1/1/0 5
4/0/0/2 0
4/0/1/1 7
4/0/2/0 10
3/3/0/0 0
3/2/0/1 25
3/2/1/0 5
3/1/0/2 14
3/1/1/1 11
3/1/2/0 8
3/0/0/3 0
3/0/1/2 5
3/0/2/1 11
3/0/3/0 11
2/4/0/0 0
2/3/0/1 12
2/3/1/0 4
2/2/0/2 25
2/2/1/1 24
2/2/2/0 9
2/1/0/3 18
2/1/1/2 20
2/1/2/1 20
2/1/3/0 13
2/0/0/4 0
2/0/1/3 4
2/0/2/2 8
2/0/3/1 15
2/0/4/0 19
1/5/0/0 0
1/4/0/1 26
1/4/1/0 5
1/3/0/2 27
1/3/1/1 21
1/3/2/0 5
1/2/0/3 27
1/2/1/2 40
1/2/2/1 26
1/2/3/0 14
1/1/0/4 19
1/1/1/3 21
1/1/2/2 20
1/1/3/1 22
1/1/4/0 20
1/0/0/5 0
1/0/1/4 3
1/0/2/3 10
1/0/3/2 16
1/0/4/1 18
1/0/5/0 20
0/6/0/0 0
0/5/0/1 17
0/5/1/0 4
0/4/0/2 9
0/4/1/1 10
0/4/2/0 10
0/3/0/3 14
0/3/1/2 21
0/3/2/1 23
0/3/3/0 12
0/2/0/4 21
0/2/1/3 26
0/2/2/2 29
0/2/3/1 30
0/2/4/0 16
0/1/0/5 20
0/1/1/4 27
0/1/2/3 20
0/1/3/2 26
0/1/4/1 25
0/1/5/0 16
0/0/0/6 0
0/0/1/5 6
0/0/2/4 9
0/0/3/3 15
0/0/4/2 14
0/0/5/1 16
0/0/6/0 15
