RBCH P
7/0/0/0 0
6/1/0/0 0
6/0/0/1 0
6/0/1/0 5
5/2/0/0 0
5/1/0/1 10
5/1/1/0 5
5/0/0/2 0
5/0/1/1 5
5/0/2/0 9
4/3/0/0 0
4/2/0/1 12
4/2/1/0 5
4/1/0/2 15
4/1/1/1 13
4/1/2/0 8
4/0/0/3 0
4/0/1/2 3
4/0/2/1 13
4/0/3/0 15
3/4/0/0 0
3/3/0/1 16
3/3/1/0 5
3/2/0/2 26
3/2/1/1 20
3/2/2/0 6
3/1/0/3 17
3/1/1/2 18
3/1/2/1 17
3/1/3/0 16
3/0/0/4 0
3/0/1/3 5
3/0/2/2 10
3/0/3/1 10
3/0/4/0 18
2/5/0/0 0
2/4/0/1 31
2/4/1/0 6
2/3/0/2 22
2/3/1/1 19
2/3/2/0 9
2/2/0/3 20
2/2/1/2 19
2/2/2/1 19
2/2/3/0 10
2/1/0/4 13
2/1/1/3 18
2/1/2/2 27
2/1/3/1 26
2/1/4/0 15
2/0/0/5 0
2/0/1/4 5
2/0/2/3 14
2/0/3/2 16
2/0/4/1 19
2/0/5/0 22
1/6/0/0 0
1/5/0/1 8
1/5/1/0 6
1/4/0/2 38
1/4/1/1 29
1/4/2/0 11
1/3/0/3 26
1/3/1/2 32
1/3/2/1 23
1/3/3/0 15
1/2/0/4 23
1/2/1/3 28
1/2/2/2 39
1/2/3/1 37
1/2/4/0 21
1/1/0/5 15
1/1/1/4 28
1/1/2/3 27
1/1/3/2 26
1/1/4/1 35
1/1/5/0 21
1/0/0/6 0
1/0/1/5 5
1/0/2/4 13
1/0/3/3 15
1/0/4/2 28
1/0/5/1 21
1/0/6/0 31
0/7/0/0 1
0/6/0/1 14
0/6/1/0 4
0/5/0/2 42
0/5/1/1 15
0/5/2/0 10
0/4/0/3 38
0/4/1/2 42
0/4/2/1 36
0/4/3/0 12
0/3/0/4 33
0/3/1/3 29
0/3/2/2 35
0/3/3/1 39
0/3/4/0 17
0/2/0/5 27
0/2/1/4 34
0/2/2/3 35
0/2/3/2 40
0/2/4/1 41
0/2/5/0 24
0/1/0/6 22
0/1/1/5 18
0/1/2/4 29
0/1/3/3 31
0/1/4/2 30
0/1/5/1 38
0/1/6/0 22
0/0/0/7 0
0/0/1/6 3
0/0/2/5 12
0/0/3/4 18
0/0/4/3 18
0/0/5/2 20
0/0/6/1 28
0/0/7/0 27
