RBCH P
11/0/0/0 0
10/1/0/0 1
10/0/0/1 0
10/0/1/0 5
9/2/0/0 0
9/1/0/1 9
9/1/1/0 14
9/0/0/2 0
9/0/1/1 14
9/0/2/0 18
8/3/0/0 1
8/2/0/1 21
8/2/1/0 12
8/1/0/2 7
8/1/1/1 29
8/1/2/0 11
8/0/0/3 0
8/0/1/2 3
8/0/2/1 16
8/0/3/0 20
7/4/0/0 0
7/3/0/1 34
7/3/1/0 9
7/2/0/2 22
7/2/1/1 25
7/2/2/0 20
7/1/0/3 19
7/1/1/2 19
7/1/2/1 23
7/1/3/0 20
7/0/0/4 0
7/0/1/3 6
7/0/2/2 7
7/0/3/1 20
7/0/4/0 26
6/5/0/0 0
6/4/0/1 13
6/4/1/0 7
6/3/0/2 32
6/3/1/1 23
6/3/2/0 17
6/2/0/3 26
6/2/1/2 40
6/2/2/1 37
6/2/3/0 25
6/1/0/4 19
6/1/1/3 26
6/1/2/2 29
6/1/3/1 33
6/1/4/0 26
6/0/0/5 0
6/0/1/4 8
6/0/2/3 11
6/0/3/2 24
6/0/4/1 25
6/0/5/0 30
5/6/0/0 1
5/5/0/1 22
5/5/1/0 10
5/4/0/2 25
5/4/1/1 28
5/4/2/0 16
5/3/0/3 22
5/3/1/2 17
5/3/2/1 25
5/3/3/0 18
5/2/0/4 21
5/2/1/3 20
5/2/2/2 33
5/2/3/1 35
5/2/4/0 21
5/1/0/5 19
5/1/1/4 28
5/1/2/3 31
5/1/3/2 34
5/1/4/1 48
5/1/5/0 37
5/0/0/6 0
5/0/1/5 5
5/0/2/4 13
5/0/3/3 24
5/0/4/2 31
5/0/5/1 35
5/0/6/0 44
4/7/0/0 2
4/6/0/1 8
4/6/1/0 11
4/5/0/2 42
4/5/1/1 28
4/5/2/0 14
4/4/0/3 27
4/4/1/2 20
4/4/2/1 25
4/4/3/0 22
4/3/0/4 26
4/3/1/3 33
4/3/2/2 35
4/3/3/1 55
4/3/4/0 33
4/2/0/5 30
4/2/1/4 22
4/2/2/3 27
4/2/3/2 42
4/2/4/1 42
4/2/5/0 29
4/1/0/6 24
4/1/1/5 29
4/1/2/4 39
4/1/3/3 41
4/1/4/2 41
4/1/5/1 54
4/1/6/0 50
4/0/0/7 0
4/0/1/6 7
4/0/2/5 21
4/0/3/4 14
4/0/4/3 34
4/0/5/2 28
4/0/6/1 43
4/0/7/0 52
3/8/0/0 2
3/7/0/1 15
3/7/1/0 13
3/6/0/2 22
3/6/1/1 37
3/6/2/0 21
3/5/0/3 30
3/5/1/2 31
3/5/2/1 24
3/5/3/0 33
3/4/0/4 41
3/4/1/3 22
3/4/2/2 33
3/4/3/1 48
3/4/4/0 35
3/3/0/5 31
3/3/1/4 49
3/3/2/3 57
3/3/3/2 41
3/3/4/1 35
3/3/5/0 39
3/2/0/6 35
3/2/1/5 49
3/2/2/4 45
3/2/3/3 37
3/2/4/2 50
3/2/5/1 41
3/2/6/0 37
3/1/0/7 25
3/1/1/6 26
3/1/2/5 26
3/1/3/4 40
3/1/4/3 40
3/1/5/2 55
3/1/6/1 42
3/1/7/0 52
3/0/0/8 0
3/0/1/7 2
3/0/2/6 9
3/0/3/5 17
3/0/4/4 36
3/0/5/3 41
3/0/6/2 36
3/0/7/1 49
3/0/8/0 56
2/9/0/0 0
2/8/0/1 30
2/8/1/0 10
2/7/0/2 25
2/7/1/1 22
2/7/2/0 19
2/6/0/3 32
2/6/1/2 38
2/6/2/1 40
2/6/3/0 30
2/5/0/4 17
2/5/1/3 29
2/5/2/2 35
2/5/3/1 36
2/5/4/0 37
2/4/0/5 35
2/4/1/4 30
2/4/2/3 45
2/4/3/2 29
2/4/4/1 46
2/4/5/0 43
2/3/0/6 26
2/3/1/5 47
2/3/2/4 44
2/3/3/3 42
2/3/4/2 49
2/3/5/1 39
2/3/6/0 38
2/2/0/7 26
2/2/1/6 36
2/2/2/5 42
2/2/3/4 50
2/2/4/3 54
2/2/5/2 64
2/2/6/1 54
2/2/7/0 47
2/1/0/8 17
2/1/1/7 23
2/1/2/6 28
2/1/3/5 38
2/1/4/4 54
2/1/5/3 40
2/1/6/2 51
2/1/7/1 50
2/1/8/0 50
2/0/0/9 0
2/0/1/8 5
2/0/2/7 14
2/0/3/6 21
2/0/4/5 41
2/0/5/4 29
2/0/6/3 38
2/0/7/2 47
2/0/8/1 47
2/0/9/0 49
1/10/0/0 1
1/9/0/1 25
1/9/1/0 13
1/8/0/2 26
1/8/1/1 22
1/8/2/0 14
1/7/0/3 28
1/7/1/2 41
1/7/2/1 41
1/7/3/0 29
1/6/0/4 34
1/6/1/3 27
1/6/2/2 41
1/6/3/1 41
1/6/4/0 31
1/5/0/5 38
1/5/1/4 39
1/5/2/3 39
1/5/3/2 46
1/5/4/1 37
1/5/5/0 37
1/4/0/6 22
1/4/1/5 42
1/4/2/4 42
1/4/3/3 46
1/4/4/2 65
1/4/5/1 53
1/4/6/0 43
1/3/0/7 35
1/3/1/6 37
1/3/2/5 48
1/3/3/4 51
1/3/4/3 50
1/3/5/2 61
1/3/6/1 54
1/3/7/0 50
1/2/0/8 36
1/2/1/7 30
1/2/2/6 37
1/2/3/5 37
1/2/4/4 62
1/2/5/3 60
1/2/6/2 65
1/2/7/1 69
1/2/8/0 56
1/1/0/9 21
1/1/1/8 26
1/1/2/7 31
1/1/3/6 39
1/1/4/5 54
1/1/5/4 52
1/1/6/3 65
1/1/7/2 65
1/1/8/1 55
1/1/9/0 42
1/0/0/10 0
1/0/1/9 5
1/0/2/8 14
1/0/3/7 23
1/0/4/6 30
1/0/5/5 31
1/0/6/4 46
1/0/7/3 45
1/0/8/2 44
1/0/9/1 54
1/0/10/0 61
0/11/0/0 3
0/10/0/1 20
0/10/1/0 12
0/9/0/2 32
0/9/1/1 21
0/9/2/0 17
0/8/0/3 51
0/8/1/2 42
0/8/2/1 32
0/8/3/0 25
0/7/0/4 35
0/7/1/3 33
0/7/2/2 35
0/7/3/1 40
0/7/4/0 39
0/6/0/5 32
0/6/1/4 53
0/6/2/3 68
0/6/3/2 35
0/6/4/1 43
0/6/5/0 31
0/5/0/6 24
0/5/1/5 36
0/5/2/4 53
0/5/3/3 61
0/5/4/2 59
0/5/5/1 52
0/5/6/0 35
0/4/0/7 37
0/4/1/6 26
0/4/2/5 54
0/4/3/4 46
0/4/4/3 56
0/4/5/2 62
0/4/6/1 58
0/4/7/0 44
0/3/0/8 36
0/3/1/7 38
0/3/2/6 55
0/3/3/5 51
0/3/4/4 58
0/3/5/3 50
0/3/6/2 56
0/3/7/1 52
0/3/8/0 48
0/2/0/9 30
0/2/1/8 42
0/2/2/7 42
0/2/3/6 48
0/2/4/5 50
0/2/5/4 64
0/2/6/3 69
0/2/7/2 50
0/2/8/1 57
0/2/9/0 55
0/1/0/10 11
0/1/1/9 23
0/1/2/8 46
0/1/3/7 44
0/1/4/6 36
0/1/5/5 53
0/1/6/4 57
0/1/7/3 54
0/1/8/2 55
0/1/9/1 63
0/1/10/0 62
0/0/0/11 0
0/0/1/10 5
0/0/2/9 17
0/0/3/8 23
0/0/4/7 23
0/0/5/6 33
0/0/6/5 36
0/0/7/4 39
0/0/8/3 51
0/0/9/2 49
0/0/10/1 51
0/0/11/0 69
