RBCH P
10/0/0/0 0
9/1/0/0 0
9/0/0/1 0
9/0/1/0 9
8/2/0/0 1
8/1/0/1 11
8/1/1/0 9
8/0/0/2 0
8/0/1/1 6
8/0/2/0 18
7/3/0/0 0
7/2/0/1 6
7/2/1/0 11
7/1/0/2 16
7/1/1/1 21
7/1/2/0 19
7/0/0/3 0
7/0/1/2 10
7/0/2/1 21
7/0/3/0 22
6/4/0/0 1
6/3/0/1 17
6/3/1/0 9
6/2/0/2 23
6/2/1/1 30
6/2/2/0 16
6/1/0/3 20
6/1/1/2 25
6/1/2/1 22
6/1/3/0 16
6/0/0/4 0
6/0/1/3 6
6/0/2/2 14
6/0/3/1 19
6/0/4/0 32
5/5/0/0 0
5/4/0/1 9
5/4/1/0 7
5/3/0/2 13
5/3/1/1 20
5/3/2/0 8
5/2/0/3 26
5/2/1/2 32
5/2/2/1 34
5/2/3/0 22
5/1/0/4 23
5/1/1/3 16
5/1/2/2 25
5/1/3/1 34
5/1/4/0 23
5/0/0/5 0
5/0/1/4 7
5/0/2/3 16
5/0/3/2 19
5/0/4/1 22
5/0/5/0 32
4/6/0/0 1
4/5/0/1 13
4/5/1/0 10
4/4/0/2 31
4/4/1/1 24
4/4/2/0 10
4/3/0/3 13
4/3/1/2 24
4/3/2/1 29
4/3/3/0 23
4/2/0/4 21
4/2/1/3 35
4/2/2/2 20
4/2/3/1 25
4/2/4/0 21
4/1/0/5 18
4/1/1/4 27
4/1/2/3 28
4/1/3/2 32
4/1/4/1 44
4/1/5/0 36
4/0/0/6 0
4/0/1/5 10
4/0/2/4 9
4/0/3/3 16
4/0/4/2 25
4/0/5/1 24
4/0/6/0 28
3/7/0/0 0
3/6/0/1 25
3/6/1/0 10
3/5/0/2 27
3/5/1/1 30
3/5/2/0 10
3/4/0/3 23
3/4/1/2 23
3/4/2/1 23
3/4/3/0 17
3/3/0/4 33
3/3/1/3 39
3/3/2/2 37
3/3/3/1 29
3/3/4/0 26
3/2/0/5 27
3/2/1/4 29
3/2/2/3 38
3/2/3/2 38
3/2/4/1 53
3/2/5/0 31
3/1/0/6 20
3/1/1/5 32
3/1/2/4 42
3/1/3/3 41
3/1/4/2 46
3/1/5/1 34
3/1/6/0 31
3/0/0/7 0
3/0/1/6 6
3/0/2/5 13
3/0/3/4 19
3/0/4/3 28
3/0/5/2 32
3/0/6/1 37
3/0/7/0 42
2/8/0/0 1
2/7/0/1 20
2/7/1/0 7
2/6/0/2 21
2/6/1/1 15
2/6/2/0 25
2/5/0/3 37
2/5/1/2 36
2/5/2/1 46
2/5/3/0 31
2/4/0/4 16
2/4/1/3 28
2/4/2/2 35
2/4/3/1 42
2/4/4/0 30
2/3/0/5 30
2/3/1/4 36
2/3/2/3 28
2/3/3/2 42
2/3/4/1 52
2/3/5/0 28
2/2/0/6 36
2/2/1/5 30
2/2/2/4 44
2/2/3/3 37
2/2/4/2 47
2/2/5/1 67
2/2/6/0 45
2/1/0/7 14
2/1/1/6 32
2/1/2/5 31
2/1/3/4 40
2/1/4/3 40
2/1/5/2 47
2/1/6/1 62
2/1/7/0 37
2/0/0/8 0
2/0/1/7 8
2/0/2/6 10
2/0/3/5 14
2/0/4/4 20
2/0/5/3 41
2/0/6/2 31
2/0/7/1 44
2/0/8/0 47
1/9/0/0 1
1/8/0/1 18
1/8/1/0 10
1/7/0/2 30
1/7/1/1 16
1/7/2/0 13
1/6/0/3 25
1/6/1/2 34
1/6/2/1 26
1/6/3/0 26
1/5/0/4 28
1/5/1/3 40
1/5/2/2 31
1/5/3/1 30
1/5/4/0 22
1/4/0/5 44
1/4/1/4 35
1/4/2/3 39
1/4/3/2 39
1/4/4/1 41
1/4/5/0 36
1/3/0/6 33
1/3/1/5 33
1/3/2/4 46
1/3/3/3 44
1/3/4/2 47
1/3/5/1 45
1/3/6/0 29
1/2/0/7 23
1/2/1/6 31
1/2/2/5 37
1/2/3/4 51
1/2/4/3 56
1/2/5/2 54
1/2/6/1 49
1/2/7/0 39
1/1/0/8 19
1/1/1/7 30
1/1/2/6 36
1/1/3/5 20
1/1/4/4 52
1/1/5/3 47
1/1/6/2 42
1/1/7/1 55
1/1/8/0 45
1/0/0/9 0
1/0/1/8 3
1/0/2/7 12
1/0/3/6 12
1/0/4/5 26
1/0/5/4 39
1/0/6/3 37
1/0/7/2 49
1/0/8/1 42
1/0/9/0 54
0/10/0/0 1
0/9/0/1 13
0/9/1/0 11
0/8/0/2 21
0/8/1/1 29
0/8/2/0 18
0/7/0/3 34
0/7/1/2 34
0/7/2/1 37
0/7/3/0 23
0/6/0/4 28
0/6/1/3 39
0/6/2/2 29
0/6/3/1 35
0/6/4/0 27
0/5/0/5 61
0/5/1/4 38
0/5/2/3 37
0/5/3/2 64
0/5/4/1 32
0/5/5/0 31
0/4/0/6 32
0/4/1/5 31
0/4/2/4 45
0/4/3/3 35
0/4/4/2 51
0/4/5/1 41
0/4/6/0 48
0/3/0/7 35
0/3/1/6 45
0/3/2/5 36
0/3/3/4 41
0/3/4/3 53
0/3/5/2 51
0/3/6/1 43
0/3/7/0 36
0/2/0/8 33
0/2/1/7 51
0/2/2/6 40
0/2/3/5 42
