RBCH P
12/0/0/0 0
11/1/0/0 0
11/0/0/1 0
11/0/1/0 4
10/2/0/0 0
10/1/0/1 13
10/1/1/0 5
10/0/0/2 0
10/0/1/1 5
10/0/2/0 8
9/3/0/0 0
9/2/0/1 17
9/2/1/0 2
9/1/0/2 18
9/1/1/1 11
9/1/2/0 10
9/0/0/3 0
9/0/1/2 6
9/0/2/1 12
9/0/3/0 15
8/4/0/0 0
8/3/0/1 20
8/3/1/0 5
8/2/0/2 10
8/2/1/1 16
8/2/2/0 9
8/1/0/3 14
8/1/1/2 18
8/1/2/1 17
8/1/3/0 11
8/0/0/4 0
8/0/1/3 5
8/0/2/2 7
8/0/3/1 16
8/0/4/0 17
7/5/0/0 0
7/4/0/1 5
7/4/1/0 5
7/3/0/2 17
7/3/1/1 23
7/3/2/0 8
7/2/0/3 17
7/2/1/2 25
7/2/2/1 23
7/2/3/0 13
7/1/0/4 12
7/1/1/3 23
7/1/2/2 34
7/1/3/1 22
7/1/4/0 14
7/0/0/5 0
7/0/1/4 4
7/0/2/3 11
7/0/3/2 13
7/0/4/1 20
7/0/5/0 20
6/6/0/0 0
6/5/0/1 16
6/5/1/0 5
6/4/0/2 26
6/4/1/1 13
6/4/2/0 9
6/3/0/3 36
6/3/1/2 31
6/3/2/1 20
6/3/3/0 12
6/2/0/4 28
6/2/1/3 24
6/2/2/2 30
6/2/3/1 22
6/2/4/0 16
6/1/0/5 20
6/1/1/4 24
6/1/2/3 25
6/1/3/2 35
6/1/4/1 24
6/1/5/0 22
6/0/0/6 0
6/0/1/5 8
6/0/2/4 10
6/0/3/3 10
6/0/4/2 20
6/0/5/1 27
6/0/6/0 29
5/7/0/0 0
5/6/0/1 23
5/6/1/0 5
5/5/0/2 21
5/5/1/1 9
5/5/2/0 8
5/4/0/3 28
5/4/1/2 32
5/4/2/1 25
5/4/3/0 14
5/3/0/4 22
5/3/1/3 24
5/3/2/2 31
5/3/3/1 21
5/3/4/0 18
5/2/0/5 30
5/2/1/4 32
5/2/2/3 37
5/2/3/2 29
5/2/4/1 26
5/2/5/0 23
5/1/0/6 17
5/1/1/5 19
5/1/2/4 28
5/1/3/3 31
5/1/4/2 35
5/1/5/1 36
5/1/6/0 28
5/0/0/7 0
5/0/1/6 7
5/0/2/5 10
5/0/3/4 15
5/0/4/3 21
5/0/5/2 20
5/0/6/1 25
5/0/7/0 26
4/8/0/0 0
4/7/0/1 22
4/7/1/0 4
4/6/0/2 18
4/6/1/1 24
4/6/2/0 8
4/5/0/3 29
4/5/1/2 20
4/5/2/1 20
4/5/3/0 14
4/4/0/4 38
