RBCH P
5/0/0/0 0
4/1/0/0 0
4/0/0/1 0
4/0/1/0 5
3/2/0/0 0
3/1/0/1 7
3/1/1/0 5
3/0/0/2 0
3/0/1/1 5
3/0/2/0 9
2/3/0/0 1
2/2/0/1 11
2/2/1/0 5
2/1/0/2 17
2/1/1/1 13
2/1/2/0 10
2/0/0/3 0
2/0/1/2 7
2/0/2/1 8
2/0/3/0 14
1/4/0/0 0
1/3/0/1 26
1/3/1/0 5
1/2/0/2 21
1/2/1/1 20
1/2/2/0 9
1/1/0/3 19
1/1/1/2 21
1/1/2/1 22
1/1/3/0 11
1/0/0/4 0
1/0/1/3 5
1/0/2/2 11
1/0/3/1 11
1/0/4/0 18
0/5/0/0 2
0/4/0/1 11
0/4/1/0 5
0/3/0/2 21
0/3/1/1 14
0/3/2/0 10
0/2/0/3 19
0/2/1/2 33
0/2/2/1 15
0/2/3/0 16
0/1/0/4 19
0/1/1/3 26
0/1/2/2 22
0/1/3/1 31
0/1/4/0 18
0/0/0/5 0
0/0/1/4 1
0/0/2/3 9
0/0/3/2 16
0/0/4/1 21
0/0/5/0 24
