RBCH P
9/0/0/0 0
8/1/0/0 0
8/0/0/1 0
8/0/1/0 10
7/2/0/0 0
7/1/0/1 14
7/1/1/0 9
7/0/0/2 0
7/0/1/1 5
7/0/2/0 15
6/3/0/0 1
6/2/0/1 16
6/2/1/0 7
6/1/0/2 10
6/1/1/1 22
6/1/2/0 19
6/0/0/3 0
6/0/1/2 6
6/0/2/1 14
6/0/3/0 22
5/4/0/0 1
5/3/0/1 17
5/3/1/0 8
5/2/0/2 27
5/2/1/1 19
5/2/2/0 15
5/1/0/3 21
5/1/1/2 25
5/1/2/1 25
5/1/3/0 18
5/0/0/4 0
5/0/1/3 3
5/0/2/2 15
5/0/3/1 19
5/0/4/0 30
4/5/0/0 0
4/4/0/1 15
4/4/1/0 7
4/3/0/2 20
4/3/1/1 29
4/3/2/0 12
4/2/0/3 28
4/2/1/2 16
4/2/2/1 42
4/2/3/0 18
4/1/0/4 13
4/1/1/3 30
4/1/2/2 35
4/1/3/1 26
4/1/4/0 22
4/0/0/5 0
4/0/1/4 8
4/0/2/3 16
4/0/3/2 17
4/0/4/1 26
4/0/5/0 28
3/6/0/0 1
3/5/0/1 25
3/5/1/0 8
3/4/0/2 16
3/4/1/1 28
3/4/2/0 15
3/3/0/3 32
3/3/1/2 41
3/3/2/1 38
3/3/3/0 24
3/2/0/4 17
3/2/1/3 40
3/2/2/2 28
3/2/3/1 31
3/2/4/0 26
3/1/0/5 25
3/1/1/4 33
3/1/2/3 28
3/1/3/2 32
3/1/4/1 30
3/1/5/0 34
3/0/0/6 0
3/0/1/5 4
3/0/2/4 14
3/0/3/3 16
3/0/4/2 26
3/0/5/1 29
3/0/6/0 38
2/7/0/0 1
2/6/0/1 8
2/6/1/0 9
2/5/0/2 23
2/5/1/1 33
2/5/2/0 18
2/4/0/3 48
2/4/1/2 39
2/4/2/1 33
2/4/3/0 20
2/3/0/4 25
2/3/1/3 26
2/3/2/2 45
2/3/3/1 36
2/3/4/0 31
2/2/0/5 34
2/2/1/4 26
2/2/2/3 23
2/2/3/2 36
2/2/4/1 45
2/2/5/0 32
2/1/0/6 21
2/1/1/5 29
2/1/2/4 29
2/1/3/3 43
2/1/4/2 46
2/1/5/1 43
2/1/6/0 36
2/0/0/7 0
2/0/1/6 5
2/0/2/5 12
2/0/3/4 18
2/0/4/3 24
2/0/5/2 23
2/0/6/1 39
2/0/7/0 38
1/8/0/0 1
1/7/0/1 13
1/7/1/0 7
1/6/0/2 30
1/6/1/1 21
1/6/2/0 15
1/5/0/3 27
1/5/1/2 46
1/5/2/1 34
1/5/3/0 20
1/4/0/4 26
1/4/1/3 32
1/4/2/2 42
1/4/3/1 47
1/4/4/0 28
1/3/0/5 47
1/3/1/4 52
1/3/2/3 40
1/3/3/2 47
1/3/4/1 33
1/3/5/0 27
1/2/0/6 34
1/2/1/5 38
1/2/2/4 40
1/2/3/3 40
1/2/4/2 43
1/2/5/1 35
1/2/6/0 32
1/1/0/7 19
1/1/1/6 27
1/1/2/5 32
1/1/3/4 32
1/1/4/3 44
1/1/5/2 50
1/1/6/1 48
1/1/7/0 39
1/0/0/8 0
1/0/1/7 7
1/0/2/6 19
1/0/3/5 25
1/0/4/4 18
1/0/5/3 24
1/0/6/2 38
1/0/7/1 38
1/0/8/0 44
0/9/0/0 2
0/8/0/1 24
0/8/1/0 9
0/7/0/2 30
0/7/1/1 25
0/7/2/0 17
0/6/0/3 47
0/6/1/2 37
0/6/2/1 26
0/6/3/0 24
0/5/0/4 32
0/5/1/3 38
0/5/2/2 43
0/5/3/1 36
0/5/4/0 28
0/4/0/5 33
0/4/1/4 42
0/4/2/3 42
0/4/3/2 39
0/4/4/1 47
0/4/5/0 30
0/3/0/6 27
0/3/1/5 62
0/3/2/4 50
0/3/3/3 50
0/3/4/2 38
0/3/5/1 42
0/3/6/0 40
0/2/0/7 38
0/2/1/6 41
0/2/2/5 52
0/2/3/4 49
0/2/4/3 44
0/2/5/2 40
0/2/6/1 54
0/2/7/0 42
0/1/0/8 26
0/1/1/7 24
0/1/2/6 45
0/1/3/5 42
0/1/4/4 35
0/1/5/3 41
0/1/6/2 52
0/1/7/1 62
0/1/8/0 51
0/0/0/9 0
0/0/1/8 4
0/0/2/7 14
0/0/3/6 17
0/0/4/5 19
0/0/5/4 36
0/0/6/3 30
0/0/7/2 39
0/0/8/1 40
0/0/9/0 51
