RBCH P
12/0/0/0 0
11/1/0/0 0
11/0/0/1 0
11/0/1/0 11
10/2/0/0 0
10/1/0/1 11
10/1/1/0 10
10/0/0/2 0
10/0/1/1 9
10/0/2/0 23
9/3/0/0 0
9/2/0/1 17
9/2/1/0 8
9/1/0/2 17
9/1/1/1 7
9/1/2/0 15
9/0/0/3 0
9/0/1/2 9
9/0/2/1 20
9/0/3/0 17
8/4/0/0 0
8/3/0/1 11
8/3/1/0 6
8/2/0/2 21
8/2/1/1 23
8/2/2/0 22
8/1/0/3 8
8/1/1/2 24
8/1/2/1 25
8/1/3/0 25
8/0/0/4 0
8/0/1/3 4
8/0/2/2 23
8/0/3/1 24
8/0/4/0 35
7/5/0/0 1
7/4/0/1 14
7/4/1/0 9
7/3/0/2 21
7/3/1/1 26
7/3/2/0 14
7/2/0/3 20
7/2/1/2 35
7/2/2/1 24
7/2/3/0 24
7/1/0/4 20
7/1/1/3 21
7/1/2/2 26
7/1/3/1 21
7/1/4/0 32
7/0/0/5 0
7/0/1/4 9
7/0/2/3 16
7/0/3/2 16
7/0/4/1 25
7/0/5/0 33
6/6/0/0 0
6/5/0/1 25
6/5/1/0 10
6/4/0/2 24
6/4/1/1 10
6/4/2/0 17
6/3/0/3 25
6/3/1/2 34
6/3/2/1 30
6/3/3/0 29
6/2/0/4 25
6/2/1/3 14
6/2/2/2 28
6/2/3/1 37
6/2/4/0 38
6/1/0/5 22
6/1/1/4 18
6/1/2/3 21
6/1/3/2 38
6/1/4/1 38
6/1/5/0 30
6/0/0/6 0
6/0/1/5 9
6/0/2/4 16
6/0/3/3 21
6/0/4/2 22
6/0/5/1 29
6/0/6/0 34
5/7/0/0 1
5/6/0/1 19
5/6/1/0 13
5/5/0/2 12
5/5/1/1 25
5/5/2/0 18
5/4/0/3 26
5/4/1/2 19
5/4/2/1 27
5/4/3/0 26
5/3/0/4 13
5/3/1/3 30
5/3/2/2 39
5/3/3/1 44
5/3/4/0 29
5/2/0/5 32
5/2/1/4 39
5/2/2/3 42
5/2/3/2 47
5/2/4/1 36
5/2/5/0 30
5/1/0/6 20
5/1/1/5 28
5/1/2/4 35
5/1/3/3 41
5/1/4/2 35
5/1/5/1 39
5/1/6/0 44
5/0/0/7 0
5/0/1/6 8
5/0/2/5 11
5/0/3/4 23
5/0/4/3 30
5/0/5/2 40
5/0/6/1 40
5/0/7/0 57
4/8/0/0 0
4/7/0/1 11
4/7/1/0 9
4/6/0/2 10
4/6/1/1 14
4/6/2/0 19
4/5/0/3 33
4/5/1/2 24
4/5/2/1 38
4/5/3/0 25
4/4/0/4 37
