RBCH P
7/0/0/0 0
6/1/0/0 0
6/0/0/1 0
6/0/1/0 9
5/2/0/0 0
5/1/0/1 10
5/1/1/0 7
5/0/0/2 0
5/0/1/1 2
5/0/2/0 15
4/3/0/0 0
4/2/0/1 27
4/2/1/0 7
4/1/0/2 11
4/1/1/1 26
4/1/2/0 17
4/0/0/3 0
4/0/1/2 7
4/0/2/1 11
4/0/3/0 18
3/4/0/0 2
3/3/0/1 19
3/3/1/0 7
3/2/0/2 23
3/2/1/1 32
3/2/2/0 11
3/1/0/3 21
3/1/1/2 26
3/1/2/1 22
3/1/3/0 22
3/0/0/4 0
3/0/1/3 4
3/0/2/2 7
3/0/3/1 20
3/0/4/0 30
2/5/0/0 0
2/4/0/1 19
2/4/1/0 5
2/3/0/2 44
2/3/1/1 30
2/3/2/0 13
2/2/0/3 26
2/2/1/2 25
2/2/2/1 30
2/2/3/0 24
2/1/0/4 18
2/1/1/3 21
2/1/2/2 29
2/1/3/1 36
2/1/4/0 33
2/0/0/5 0
2/0/1/4 7
2/0/2/3 12
2/0/3/2 22
2/0/4/1 27
2/0/5/0 28
1/6/0/0 0
1/5/0/1 30
1/5/1/0 8
1/4/0/2 20
1/4/1/1 26
1/4/2/0 14
1/3/0/3 28
1/3/1/2 43
1/3/2/1 29
1/3/3/0 17
1/2/0/4 40
1/2/1/3 35
1/2/2/2 32
1/2/3/1 50
1/2/4/0 23
1/1/0/5 15
1/1/1/4 28
1/1/2/3 33
1/1/3/2 28
1/1/4/1 31
1/1/5/0 32
1/0/0/6 0
1/0/1/5 5
1/0/2/4 17
1/0/3/3 18
1/0/4/2 22
1/0/5/1 29
1/0/6/0 39
0/7/0/0 0
0/6/0/1 15
0/6/1/0 7
0/5/0/2 30
0/5/1/1 26
0/5/2/0 13
0/4/0/3 37
0/4/1/2 35
0/4/2/1 29
0/4/3/0 14
0/3/0/4 31
0/3/1/3 41
0/3/2/2 54
0/3/3/1 33
0/3/4/0 11
0/2/0/5 38
0/2/1/4 40
0/2/2/3 29
0/2/3/2 40
0/2/4/1 47
0/2/5/0 32
0/1/0/6 15
0/1/1/5 23
0/1/2/4 34
0/1/3/3 42
0/1/4/2 45
0/1/5/1 46
0/1/6/0 34
0/0/0/7 0
0/0/1/6 5
0/0/2/5 14
0/0/3/4 13
0/0/4/3 18
0/0/5/2 35
0/0/6/1 32
0/0/7/0 35
