RBCH P
14/0/0/0 0
13/1/0/0 0
13/0/0/1 0
13/0/1/0 11
12/2/0/0 0
12/1/0/1 18
12/1/1/0 5
12/0/0/2 0
12/0/1/1 6
12/0/2/0 20
11/3/0/0 0
11/2/0/1 5
11/2/1/0 9
11/1/0/2 12
11/1/1/1 17
11/1/2/0 16
11/0/0/3 0
11/0/1/2 9
11/0/2/1 16
11/0/3/0 30
10/4/0/0 0
10/3/0/1 12
10/3/1/0 6
10/2/0/2 16
10/2/1/1 20
10/2/2/0 10
10/1/0/3 15
10/1/1/2 22
10/1/2/1 27
10/1/3/0 20
10/0/0/4 0
10/0/1/3 12
10/0/2/2 17
10/0/3/1 17
10/0/4/0 28
9/5/0/0 0
9/4/0/1 10
9/4/1/0 6
9/3/0/2 18
9/3/1/1 17
9/3/2/0 19
9/2/0/3 21
9/2/1/2 24
9/2/2/1 27
9/2/3/0 20
9/1/0/4 16
9/1/1/3 26
9/1/2/2 35
9/1/3/1 31
9/1/4/0 27
9/0/0/5 0
9/0/1/4 6
9/0/2/3 12
9/0/3/2 15
9/0/4/1 25
9/0/5/0 31
8/6/0/0 0
8/5/0/1 8
8/5/1/0 10
8/4/0/2 24
8/4/1/1 23
8/4/2/0 18
8/3/0/3 28
8/3/1/2 29
8/3/2/1 18
8/3/3/0 33
8/2/0/4 30
8/2/1/3 46
8/2/2/2 34
8/2/3/1 34
8/2/4/0 25
8/1/0/5 18
8/1/1/4 27
8/1/2/3 30
8/1/3/2 32
8/1/4/1 36
8/1/5/0 33
8/0/0/6 0
8/0/1/5 1
8/0/2/4 20
8/0/3/3 19
8/0/4/2 34
8/0/5/1 32
8/0/6/0 44
7/7/0/0 0
7/6/0/1 8
7/6/1/0 14
7/5/0/2 17
7/5/1/1 32
7/5/2/0 14
7/4/0/3 18
7/4/1/2 26
7/4/2/1 34
7/4/3/0 24
7/3/0/4 15
7/3/1/3 34
7/3/2/2 28
7/3/3/1 41
7/3/4/0 32
7/2/0/5 17
7/2/1/4 32
7/2/2/3 26
7/2/3/2 36
7/2/4/1 50
7/2/5/0 34
7/1/0/6 16
7/1/1/5 40
7/1/2/4 39
7/1/3/3 36
7/1/4/2 42
7/1/5/1 46
7/1/6/0 33
7/0/0/7 0
7/0/1/6 7
7/0/2/5 11
7/0/3/4 26
7/0/4/3 27
7/0/5/2 32
7/0/6/1 30
7/0/7/0 42
6/8/0/0 1
6/7/0/1 9
6/7/1/0 9
6/6/0/2 20
6/6/1/1 27
6/6/2/0 15
6/5/0/3 19
6/5/1/2 19
6/5/2/1 35
6/5/3/0 24
6/4/0/4 27
6/4/1/3 22
6/4/2/2 34
6/4/3/1 27
6/4/4/0 30
6/3/0/5 20
6/3/1/4 19
6/3/2/3 24
6/3/3/2 30
6/3/4/1 45
6/3/5/0 36
6/2/0/6 31
6/2/1/5 39
6/2/2/4 34
6/2/3/3 42
6/2/4/2 33
6/2/5/1 36
6/2/6/0 49
6/1/0/7 19
6/1/1/6 28
6/1/2/5 38
6/1/3/4 27
6/1/4/3 43
6/1/5/2 38
6/1/6/1 48
6/1/7/0 47
6/0/0/8 0
