RBCH P
5/0/0/0 0
4/1/0/0 0
4/0/0/1 0
4/0/1/0 7
3/2/0/0 0
3/1/0/1 11
3/1/1/0 8
3/0/0/2 0
3/0/1/1 9
3/0/2/0 16
2/3/0/0 0
2/2/0/1 23
2/2/1/0 8
2/1/0/2 19
2/1/1/1 17
2/1/2/0 13
2/0/0/3 0
2/0/1/2 11
2/0/2/1 13
2/0/3/0 18
1/4/0/0 0
1/3/0/1 23
1/3/1/0 9
1/2/0/2 26
1/2/1/1 22
1/2/2/0 10
1/1/0/3 19
1/1/1/2 24
1/1/2/1 30
1/1/3/0 22
1/0/0/4 0
1/0/1/3 7
1/0/2/2 9
1/0/3/1 17
1/0/4/0 26
0/5/0/0 0
0/4/0/1 18
0/4/1/0 9
0/3/0/2 24
0/3/1/1 28
0/3/2/0 15
0/2/0/3 37
0/2/1/2 29
0/2/2/1 29
0/2/3/0 21
0/1/0/4 25
0/1/1/3 32
0/1/2/2 32
0/1/3/1 38
0/1/4/0 27
0/0/0/5 0
0/0/1/4 13
0/0/2/3 18
0/0/3/2 17
0/0/4/1 21
0/0/5/0 38
