RBCH P
15/0/0/0 0
14/1/0/0 0
14/0/0/1 0
14/0/1/0 8
13/2/0/0 0
13/1/0/1 6
13/1/1/0 8
13/0/0/2 0
13/0/1/1 8
13/0/2/0 13
12/3/0/0 1
12/2/0/1 14
12/2/1/0 8
12/1/0/2 21
12/1/1/1 17
12/1/2/0 16
12/0/0/3 0
12/0/1/2 2
12/0/2/1 9
12/0/3/0 20
11/4/0/0 1
11/3/0/1 8
11/3/1/0 6
11/2/0/2 13
11/2/1/1 17
11/2/2/0 10
11/1/0/3 19
11/1/1/2 26
11/1/2/1 17
11/1/3/0 21
11/0/0/4 0
11/0/1/3 8
11/0/2/2 13
11/0/3/1 17
11/0/4/0 28
10/5/0/0 0
10/4/0/1 19
10/4/1/0 7
10/3/0/2 16
10/3/1/1 16
10/3/2/0 11
10/2/0/3 34
10/2/1/2 33
10/2/2/1 30
10/2/3/0 19
10/1/0/4 14
10/1/1/3 27
10/1/2/2 29
10/1/3/1 29
10/1/4/0 29
10/0/0/5 0
10/0/1/4 6
10/0/2/3 15
10/0/3/2 19
10/0/4/1 23
10/0/5/0 27
9/6/0/0 0
9/5/0/1 9
9/5/1/0 1
9/4/0/2 21
9/4/1/1 29
9/4/2/0 16
9/3/0/3 31
9/3/1/2 27
9/3/2/1 29
9/3/3/0 21
9/2/0/4 21
9/2/1/3 32
9/2/2/2 33
9/2/3/1 34
9/2/4/0 25
9/1/0/5 23
9/1/1/4 22
9/1/2/3 40
9/1/3/2 34
9/1/4/1 31
9/1/5/0 19
9/0/0/6 0
9/0/1/5 7
9/0/2/4 9
9/0/3/3 12
9/0/4/2 20
9/0/5/1 30
9/0/6/0 29
8/7/0/0 0
8/6/0/1 21
8/6/1/0 6
8/5/0/2 24
8/5/1/1 24
8/5/2/0 12
8/4/0/3 27
8/4/1/2 34
8/4/2/1 26
8/4/3/0 13
8/3/0/4 35
8/3/1/3 29
8/3/2/2 29
8/3/3/1 38
8/3/4/0 25
8/2/0/5 30
8/2/1/4 30
8/2/2/3 23
8/2/3/2 37
8/2/4/1 52
8/2/5/0 30
8/1/0/6 18
8/1/1/5 32
8/1/2/4 36
8/1/3/3 32
8/1/4/2 34
8/1/5/1 30
8/1/6/0 30
8/0/0/7 0
8/0/1/6 6
8/0/2/5 8
8/0/3/4 15
8/0/4/3 9
8/0/5/2 25
8/0/6/1 30
8/0/7/0 33
7/8/0/0 0
7/7/0/1 20
7/7/1/0 5
7/6/0/2 27
7/6/1/1 32
7/6/2/0 11
7/5/0/3 29
7/5/1/2 30
7/5/2/1 31
7/5/3/0 22
7/4/0/4 26
7/4/1/3 23
7/4/2/2 27
7/4/3/1 35
7/4/4/0 25
7/3/0/5 29
7/3/1/4 43
7/3/2/3 40
7/3/3/2 35
7/3/4/1 41
7/3/5/0 34
7/2/0/6 37
7/2/1/5 41
7/2/2/4 42
7/2/3/3 34
7/2/4/2 40
7/2/5/1 36
7/2/6/0 36
7/1/0/7 24
7/1/1/6 22
7/1/2/5 38
7/1/3/4 33
7/1/4/3 46
7/1/5/2 39
7/1/6/1 47
7/1/7/0 43
7/0/0/8 0
7/0/1/7 6
7/0/2/6 11
7/0/3/5 15
7/0/4/4 20
7/0/5/3 29
7/0/6/2 27
7/0/7/1 31
7/0/8/0 37
6/9/0/0 3
6/8/0/1 17
6/8/1/0 8
6/7/0/2 13
6/7/1/1 13
6/7/2/0 9
6/6/0/3 27
6/6/1/2 39
6/6/2/1 25
6/6/3/0 19
6/5/0/4 16
6/5/1/3 46
6/5/2/2 38
6/5/3/1 41
6/5/4/0 25
6/4/0/5 40
6/4/1/4 36
6/4/2/3 37
6/4/3/2 40
6/4/4/1 38
6/4/5/0 27
6/3/0/6 29
6/3/1/5 35
6/3/2/4 49
6/3/3/3 52
6/3/4/2 41
6/3/5/1 42
6/3/6/0 31
6/2/0/7 32
6/2/1/6 42
6/2/2/5 37
6/2/3/4 44
6/2/4/3 51
6/2/5/2 44
6/2/6/1 39
6/2/7/0 40
6/1/0/8 18
6/1/1/7 30
6/1/2/6 36
6/1/3/5 30
6/1/4/4 34
6/1/5/3 45
6/1/6/2 56
6/1/7/1 42
6/1/8/0 41
6/0/0/9 0
6/0/1/8 7
6/0/2/7 8
6/0/3/6 18
6/0/4/5 23
6/0/5/4 28
6/0/6/3 35
6/0/7/2 37
6/0/8/1 43
6/0/9/0 55
5/10/0/0 1
5/9/0/1 22
5/9/1/0 10
5/8/0/2 29
5/8/1/1 22
5/8/2/0 16
5/7/0/3 31
5/7/1/2 36
5/7/2/1 20
5/7/3/0 20
5/6/0/4 38
5/6/1/3 54
5/6/2/2 43
5/6/3/1 34
5/6/4/0 24
5/5/0/5 24
5/5/1/4 23
5/5/2/3 21
5/5/3/2 41
5/5/4/1 41
5/5/5/0 35
5/4/0/6 35
5/4/1/5 52
5/4/2/4 64
5/4/3/3 47
5/4/4/2 46
5/4/5/1 50
5/4/6/0 34
5/3/0/7 35
5/3/1/6 52
5/3/2/5 38
5/3/3/4 41
5/3/4/3 39
5/3/5/2 46
5/3/6/1 46
5/3/7/0 46
5/2/0/8 32
5/2/1/7 38
5/2/2/6 33
5/2/3/5 42
5/2/4/4 49
5/2/5/3 40
5/2/6/2 49
5/2/7/1 55
5/2/8/0 40
5/1/0/9 18
5/1/1/8 31
5/1/2/7 30
5/1/3/6 29
5/1/4/5 50
5/1/5/4 50
5/1/6/3 44
5/1/7/2 50
5/1/8/1 55
5/1/9/0 47
5/0/0/10 0
5/0/1/9 6
5/0/2/8 12
5/0/3/7 13
5/0/4/6 23
5/0/5/5 26
5/0/6/4 34
5/0/7/3 34
5/0/8/2 34
5/0/9/1 40
5/0/10/0 46
4/11/0/0 2
4/10/0/1 17
4/10/1/0 8
4/9/0/2 25
4/9/1/1 25
4/9/2/0 16
4/8/0/3 28
4/8/1/2 30
4/8/2/1 34
4/8/3/0 22
4/7/0/4 44
4/7/1/3 56
4/7/2/2 40
4/7/3/1 37
4/7/4/0 25
4/6/0/5 31
4/6/1/4 41
4/6/2/3 50
4/6/3/2 48
4/6/4/1 49
4/6/5/0 31
4/5/0/6 41
4/5/1/5 43
4/5/2/4 37
4/5/3/3 39
4/5/4/2 41
4/5/5/1 36
4/5/6/0 35
4/4/0/7 47
4/4/1/6 49
4/4/2/5 46
4/4/3/4 51
4/4/4/3 47
4/4/5/2 37
4/4/6/1 36
4/4/7/0 41
4/3/0/8 40
4/3/1/7 51
4/3/2/6 38
4/3/3/5 59
4/3/4/4 47
4/3/5/3 56
4/3/6/2 40
4/3/7/1 44
4/3/8/0 47
4/2/0/9 37
4/2/1/8 44
4/2/2/7 41
4/2/3/6 43
4/2/4/5 54
4/2/5/4 59
4/2/6/3 53
4/2/7/2 53
4/2/8/1 58
4/2/9/0 50
4/1/0/10 25
4/1/1/9 22
4/1/2/8 40
4/1/3/7 30
4/1/4/6 38
4/1/5/5 34
4/1/6/4 48
4/1/7/3 56
4/1/8/2 56
4/1/9/1 53
4/1/10/0 55
4/0/0/11 0
4/0/1/10 9
4/0/2/9 17
4/0/3/8 15
4/0/4/7 23
4/0/5/6 40
4/0/6/5 37
4/0/7/4 42
4/0/8/3 42
4/0/9/2 48
4/0/10/1 54
4/0/11/0 57
3/12/0/0 1
3/11/0/1 17
3/11/1/0 9
3/10/0/2 20
3/10/1/1 23
3/10/2/0 13
3/9/0/3 25
3/9/1/2 29
3/9/2/1 10
3/9/3/0 21
3/8/0/4 30
3/8/1/3 29
3/8/2/2 37
3/8/3/1 25
3/8/4/0 27
3/7/0/5 36
3/7/1/4 61
3/7/2/3 55
3/7/3/2 47
3/7/4/1 42
3/7/5/0 33
3/6/0/6 45
3/6/1/5 42
3/6/2/4 41
3/6/3/3 42
3/6/4/2 41
3/6/5/1 45
3/6/6/0 33
3/5/0/7 40
3/5/1/6 59
3/5/2/5 39
3/5/3/4 38
3/5/4/3 25
3/5/5/2 44
3/5/6/1 51
3/5/7/0 33
3/4/0/8 50
3/4/1/7 42
3/4/2/6 60
3/4/3/5 46
3/4/4/4 48
3/4/5/3 66
3/4/6/2 54
3/4/7/1 50
3/4/8/0 46
3/3/0/9 34
3/3/1/8 36
3/3/2/7 53
3/3/3/6 57
3/3/4/5 38
3/3/5/4 57
3/3/6/3 60
3/3/7/2 59
3/3/8/1 70
3/3/9/0 35
3/2/0/10 29
3/2/1/9 40
3/2/2/8 44
3/2/3/7 43
3/2/4/6 57
3/2/5/5 49
3/2/6/4 48
3/2/7/3 62
3/2/8/2 62
3/2/9/1 52
3/2/10/0 61
3/1/0/11 14
3/1/1/10 34
3/1/2/9 37
3/1/3/8 41
3/1/4/7 49
3/1/5/6 52
3/1/6/5 47
3/1/7/4 58
3/1/8/3 63
3/1/9/2 54
3/1/10/1 64
3/1/11/0 50
3/0/0/12 0
3/0/1/11 1
3/0/2/10 11
3/0/3/9 21
3/0/4/8 21
3/0/5/7 36
3/0/6/6 34
3/0/7/5 27
3/0/8/4 38
3/0/9/3 39
3/0/10/2 48
3/0/11/1 44
3/0/12/0 42
2/13/0/0 2
2/12/0/1 15
2/12/1/0 10
2/11/0/2 38
2/11/1/1 35
2/11/2/0 11
2/10/0/3 33
2/10/1/2 9
2/10/2/1 26
2/10/3/0 21
2/9/0/4 39
2/9/1/3 37
2/9/2/2 30
2/9/3/1 31
2/9/4/0 32
2/8/0/5 53
2/8/1/4 49
2/8/2/3 35
2/8/3/2 54
2/8/4/1 35
2/8/5/0 33
2/7/0/6 32
2/7/1/5 41
2/7/2/4 56
2/7/3/3 51
2/7/4/2 38
2/7/5/1 56
2/7/6/0 38
2/6/0/7 70
2/6/1/6 77
2/6/2/5 43
2/6/3/4 42
2/6/4/3 54
2/6/5/2 61
2/6/6/1 46
2/6/7/0 38
2/5/0/8 63
2/5/1/7 61
2/5/2/6 36
2/5/3/5 71
2/5/4/4 52
2/5/5/3 58
2/5/6/2 51
2/5/7/1 63
2/5/8/0 43
2/4/0/9 50
2/4/1/8 44
2/4/2/7 49
2/4/3/6 51
2/4/4/5 45
2/4/5/4 65
2/4/6/3 61
2/4/7/2 47
2/4/8/1 46
2/4/9/0 51
2/3/0/10 44
2/3/1/9 48
2/3/2/8 49
2/3/3/7 52
2/3/4/6 60
2/3/5/5 66
2/3/6/4 62
2/3/7/3 76
2/3/8/2 63
