RBCH P
19/0/0/0 0
18/1/0/0 0
18/0/0/1 0
18/0/1/0 6
17/2/0/0 0
17/1/0/1 12
17/1/1/0 3
17/0/0/2 0
17/0/1/1 11
17/0/2/0 14
16/3/0/0 0
16/2/0/1 11
16/2/1/0 9
16/1/0/2 10
16/1/1/1 15
16/1/2/0 13
16/0/0/3 0
16/0/1/2 6
16/0/2/1 17
16/0/3/0 24
15/4/0/0 0
15/3/0/1 14
15/3/1/0 6
15/2/0/2 17
15/2/1/1 20
15/2/2/0 12
15/1/0/3 15
15/1/1/2 19
15/1/2/1 15
15/1/3/0 23
15/0/0/4 0
15/0/1/3 4
15/0/2/2 15
15/0/3/1 16
15/0/4/0 28
14/5/0/0 1
14/4/0/1 16
14/4/1/0 9
14/3/0/2 26
14/3/1/1 10
14/3/2/0 16
14/2/0/3 26
14/2/1/2 30
14/2/2/1 32
14/2/3/0 22
14/1/0/4 23
14/1/1/3 31
14/1/2/2 20
14/1/3/1 27
14/1/4/0 24
14/0/0/5 0
14/0/1/4 7
14/0/2/3 12
14/0/3/2 18
14/0/4/1 21
14/0/5/0 28
13/6/0/0 0
13/5/0/1 13
13/5/1/0 7
13/4/0/2 27
13/4/1/1 16
13/4/2/0 14
13/3/0/3 16
13/3/1/2 24
13/3/2/1 27
13/3/3/0 21
13/2/0/4 21
13/2/1/3 19
13/2/2/2 35
13/2/3/1 38
13/2/4/0 24
13/1/0/5 15
13/1/1/4 26
13/1/2/3 29
13/1/3/2 30
13/1/4/1 32
13/1/5/0 30
13/0/0/6 0
13/0/1/5 5
13/0/2/4 11
13/0/3/3 18
13/0/4/2 29
13/0/5/1 29
13/0/6/0 37
12/7/0/0 1
12/6/0/1 24
12/6/1/0 8
12/5/0/2 20
12/5/1/1 6
12/5/2/0 15
12/4/0/3 32
12/4/1/2 23
12/4/2/1 26
12/4/3/0 17
12/3/0/4 20
12/3/1/3 24
12/3/2/2 19
12/3/3/1 33
12/3/4/0 19
12/2/0/5 22
12/2/1/4 40
12/2/2/3 33
12/2/3/2 34
12/2/4/1 31
12/2/5/0 30
12/1/0/6 22
12/1/1/5 13
12/1/2/4 27
12/1/3/3 32
12/1/4/2 31
12/1/5/1 40
12/1/6/0 37
12/0/0/7 0
12/0/1/6 6
12/0/2/5 13
12/0/3/4 17
12/0/4/3 18
12/0/5/2 25
12/0/6/1 32
12/0/7/0 33
