RBCH P
18/0/0/0 0
17/1/0/0 0
17/0/0/1 0
17/0/1/0 9
16/2/0/0 0
16/1/0/1 12
16/1/1/0 6
16/0/0/2 0
16/0/1/1 7
16/0/2/0 17
15/3/0/0 0
15/2/0/1 7
15/2/1/0 6
15/1/0/2 16
15/1/1/1 20
15/1/2/0 13
15/0/0/3 0
15/0/1/2 5
15/0/2/1 17
15/0/3/0 20
14/4/0/0 0
14/3/0/1 9
14/3/1/0 5
14/2/0/2 19
14/2/1/1 25
14/2/2/0 8
14/1/0/3 18
14/1/1/2 14
14/1/2/1 25
14/1/3/0 18
14/0/0/4 0
14/0/1/3 10
14/0/2/2 9
14/0/3/1 20
14/0/4/0 20
13/5/0/0 1
13/4/0/1 11
13/4/1/0 5
13/3/0/2 33
13/3/1/1 17
13/3/2/0 11
13/2/0/3 17
13/2/1/2 16
13/2/2/1 22
13/2/3/0 18
13/1/0/4 16
13/1/1/3 25
13/1/2/2 30
13/1/3/1 21
13/1/4/0 21
13/0/0/5 0
13/0/1/4 6
13/0/2/3 15
13/0/3/2 14
13/0/4/1 22
13/0/5/0 24
12/6/0/0 0
12/5/0/1 7
12/5/1/0 9
12/4/0/2 18
12/4/1/1 17
12/4/2/0 12
12/3/0/3 22
12/3/1/2 40
12/3/2/1 23
12/3/3/0 20
12/2/0/4 34
12/2/1/3 42
12/2/2/2 19
12/2/3/1 26
12/2/4/0 26
12/1/0/5 15
12/1/1/4 26
12/1/2/3 27
12/1/3/2 30
12/1/4/1 26
12/1/5/0 26
12/0/0/6 0
12/0/1/5 14
12/0/2/4 9
12/0/3/3 20
12/0/4/2 24
12/0/5/1 33
12/0/6/0 37
11/7/0/0 0
11/6/0/1 7
11/6/1/0 6
11/5/0/2 28
11/5/1/1 46
11/5/2/0 13
11/4/0/3 12
11/4/1/2 30
11/4/2/1 24
11/4/3/0 19
11/3/0/4 22
11/3/1/3 19
11/3/2/2 33
11/3/3/1 26
11/3/4/0 27
11/2/0/5 24
11/2/1/4 25
11/2/2/3 32
11/2/3/2 43
11/2/4/1 48
11/2/5/0 38
11/1/0/6 23
11/1/1/5 29
11/1/2/4 20
11/1/3/3 40
11/1/4/2 35
11/1/5/1 35
11/1/6/0 31
11/0/0/7 0
11/0/1/6 6
11/0/2/5 17
11/0/3/4 21
11/0/4/3 20
11/0/5/2 28
11/0/6/1 37
11/0/7/0 31
10/8/0/0 1
10/7/0/1 23
10/7/1/0 9
10/6/0/2 8
10/6/1/1 21
10/6/2/0 13
10/5/0/3 29
10/5/1/2 37
10/5/2/1 13
10/5/3/0 21
10/4/0/4 25
10/4/1/3 26
10/4/2/2 41
10/4/3/1 23
10/4/4/0 22
10/3/0/5 17
10/3/1/4 33
10/3/2/3 46
10/3/3/2 29
10/3/4/1 63
10/3/5/0 24
10/2/0/6 34
10/2/1/5 44
10/2/2/4 27
10/2/3/3 50
10/2/4/2 37
10/2/5/1 38
10/2/6/0 36
10/1/0/7 21
10/1/1/6 22
10/1/2/5 34
10/1/3/4 34
10/1/4/3 37
10/1/5/2 36
10/1/6/1 34
10/1/7/0 38
10/0/0/8 0
10/0/1/7 6
10/0/2/6 10
10/0/3/5 14
10/0/4/4 25
10/0/5/3 31
10/0/6/2 27
10/0/7/1 31
10/0/8/0 44
9/9/0/0 2
9/8/0/1 11
9/8/1/0 6
9/7/0/2 21
9/7/1/1 27
9/7/2/0 14
9/6/0/3 22
9/6/1/2 33
9/6/2/1 27
9/6/3/0 19
9/5/0/4 32
9/5/1/3 33
9/5/2/2 27
9/5/3/1 26
9/5/4/0 25
9/4/0/5 19
9/4/1/4 38
9/4/2/3 40
9/4/3/2 41
9/4/4/1 39
9/4/5/0 22
9/3/0/6 37
9/3/1/5 36
9/3/2/4 37
9/3/3/3 37
9/3/4/2 56
9/3/5/1 31
9/3/6/0 35
9/2/0/7 21
9/2/1/6 30
9/2/2/5 42
9/2/3/4 41
9/2/4/3 48
9/2/5/2 46
9/2/6/1 58
9/2/7/0 28
9/1/0/8 14
9/1/1/7 27
9/1/2/6 33
9/1/3/5 34
9/1/4/4 33
9/1/5/3 32
9/1/6/2 46
9/1/7/1 47
9/1/8/0 39
9/0/0/9 0
9/0/1/8 7
9/0/2/7 9
9/0/3/6 24
9/0/4/5 15
9/0/5/4 33
9/0/6/3 28
9/0/7/2 39
9/0/8/1 39
9/0/9/0 36
8/10/0/0 3
8/9/0/1 29
8/9/1/0 8
8/8/0/2 22
8/8/1/1 13
8/8/2/0 15
8/7/0/3 40
8/7/1/2 13
8/7/2/1 31
8/7/3/0 15
8/6/0/4 49
8/6/1/3 21
8/6/2/2 30
8/6/3/1 42
8/6/4/0 24
8/5/0/5 32
8/5/1/4 23
8/5/2/3 39
8/5/3/2 28
8/5/4/1 30
8/5/5/0 28
