RBCH P
12/0/0/0 0
11/1/0/0 0
11/0/0/1 0
11/0/1/0 3
10/2/0/0 0
10/1/0/1 9
10/1/1/0 5
10/0/0/2 0
10/0/1/1 5
10/0/2/0 8
9/3/0/0 1
9/2/0/1 16
9/2/1/0 4
9/1/0/2 14
9/1/1/1 15
9/1/2/0 8
9/0/0/3 0
9/0/1/2 6
9/0/2/1 12
9/0/3/0 15
8/4/0/0 0
8/3/0/1 16
8/3/1/0 5
8/2/0/2 22
8/2/1/1 17
8/2/2/0 9
8/1/0/3 13
8/1/1/2 23
8/1/2/1 14
8/1/3/0 14
8/0/0/4 0
8/0/1/3 5
8/0/2/2 12
8/0/3/1 14
8/0/4/0 14
7/5/0/0 1
7/4/0/1 17
7/4/1/0 5
7/3/0/2 21
7/3/1/1 27
7/3/2/0 9
7/2/0/3 23
7/2/1/2 17
7/2/2/1 27
7/2/3/0 14
7/1/0/4 14
7/1/1/3 12
7/1/2/2 20
7/1/3/1 25
7/1/4/0 13
7/0/0/5 0
7/0/1/4 4
7/0/2/3 12
7/0/3/2 15
7/0/4/1 15
7/0/5/0 22
6/6/0/0 1
6/5/0/1 17
6/5/1/0 3
6/4/0/2 11
6/4/1/1 28
6/4/2/0 9
6/3/0/3 25
6/3/1/2 15
6/3/2/1 16
6/3/3/0 15
6/2/0/4 30
6/2/1/3 23
6/2/2/2 20
6/2/3/1 21
6/2/4/0 17
6/1/0/5 11
6/1/1/4 19
6/1/2/3 27
6/1/3/2 32
6/1/4/1 30
6/1/5/0 16
6/0/0/6 0
6/0/1/5 2
6/0/2/4 8
6/0/3/3 16
6/0/4/2 19
6/0/5/1 18
6/0/6/0 25
5/7/0/0 1
5/6/0/1 27
5/6/1/0 4
5/5/0/2 39
5/5/1/1 19
5/5/2/0 9
5/4/0/3 19
5/4/1/2 32
5/4/2/1 22
5/4/3/0 12
5/3/0/4 30
5/3/1/3 37
5/3/2/2 12
5/3/3/1 24
5/3/4/0 16
5/2/0/5 31
5/2/1/4 28
5/2/2/3 27
5/2/3/2 36
5/2/4/1 35
5/2/5/0 17
5/1/0/6 17
5/1/1/5 16
5/1/2/4 22
5/1/3/3 29
5/1/4/2 29
5/1/5/1 29
5/1/6/0 24
5/0/0/7 0
5/0/1/6 5
5/0/2/5 10
5/0/3/4 12
5/0/4/3 20
5/0/5/2 21
5/0/6/1 19
5/0/7/0 32
4/8/0/0 0
4/7/0/1 1
4/7/1/0 5
4/6/0/2 21
4/6/1/1 16
4/6/2/0 7
4/5/0/3 25
4/5/1/2 29
4/5/2/1 26
4/5/3/0 15
4/4/0/4 25
