RBCH P
10/0/0/0 0
9/1/0/0 0
9/0/0/1 0
9/0/1/0 5
8/2/0/0 0
8/1/0/1 13
8/1/1/0 5
8/0/0/2 0
8/0/1/1 2
8/0/2/0 10
7/3/0/0 0
7/2/0/1 20
7/2/1/0 5
7/1/0/2 13
7/1/1/1 14
7/1/2/0 8
7/0/0/3 0
7/0/1/2 4
7/0/2/1 4
7/0/3/0 8
6/4/0/0 0
6/3/0/1 14
6/3/1/0 5
6/2/0/2 16
6/2/1/1 26
6/2/2/0 8
6/1/0/3 11
6/1/1/2 17
6/1/2/1 20
6/1/3/0 14
6/0/0/4 0
6/0/1/3 7
6/0/2/2 7
6/0/3/1 9
6/0/4/0 18
5/5/0/0 0
5/4/0/1 13
5/4/1/0 4
5/3/0/2 10
5/3/1/1 14
5/3/2/0 9
5/2/0/3 18
5/2/1/2 26
5/2/2/1 22
5/2/3/0 12
5/1/0/4 19
5/1/1/3 22
5/1/2/2 21
5/1/3/1 21
5/1/4/0 14
5/0/0/5 0
5/0/1/4 5
5/0/2/3 8
5/0/3/2 11
5/0/4/1 16
5/0/5/0 16
4/6/0/0 1
4/5/0/1 16
4/5/1/0 4
4/4/0/2 30
4/4/1/1 35
4/4/2/0 6
4/3/0/3 22
4/3/1/2 26
4/3/2/1 30
4/3/3/0 14
4/2/0/4 31
4/2/1/3 24
4/2/2/2 23
4/2/3/1 27
4/2/4/0 19
4/1/0/5 17
4/1/1/4 22
4/1/2/3 24
4/1/3/2 26
4/1/4/1 23
4/1/5/0 21
4/0/0/6 0
4/0/1/5 6
4/0/2/4 10
4/0/3/3 19
4/0/4/2 14
4/0/5/1 22
4/0/6/0 23
3/7/0/0 1
3/6/0/1 21
3/6/1/0 5
3/5/0/2 21
3/5/1/1 24
3/5/2/0 10
3/4/0/3 35
3/4/1/2 16
3/4/2/1 31
3/4/3/0 12
3/3/0/4 26
3/3/1/3 46
3/3/2/2 30
3/3/3/1 24
3/3/4/0 21
3/2/0/5 28
3/2/1/4 19
3/2/2/3 28
3/2/3/2 25
3/2/4/1 27
3/2/5/0 19
3/1/0/6 19
3/1/1/5 25
3/1/2/4 24
3/1/3/3 21
3/1/4/2 31
3/1/5/1 32
3/1/6/0 28
3/0/0/7 0
3/0/1/6 5
3/0/2/5 13
3/0/3/4 12
3/0/4/3 19
3/0/5/2 22
3/0/6/1 26
3/0/7/0 32
2/8/0/0 1
2/7/0/1 19
2/7/1/0 5
2/6/0/2 9
2/6/1/1 22
2/6/2/0 9
2/5/0/3 43
2/5/1/2 31
2/5/2/1 33
2/5/3/0 12
2/4/0/4 24
2/4/1/3 39
2/4/2/2 25
2/4/3/1 16
2/4/4/0 20
2/3/0/5 36
2/3/1/4 26
2/3/2/3 35
2/3/3/2 48
2/3/4/1 27
2/3/5/0 22
2/2/0/6 30
2/2/1/5 28
2/2/2/4 29
2/2/3/3 39
2/2/4/2 43
2/2/5/1 41
2/2/6/0 24
2/1/0/7 15
2/1/1/6 8
2/1/2/5 26
2/1/3/4 30
2/1/4/3 34
2/1/5/2 44
2/1/6/1 36
2/1/7/0 30
2/0/0/8 0
2/0/1/7 0
2/0/2/6 10
2/0/3/5 14
2/0/4/4 19
2/0/5/3 28
2/0/6/2 30
2/0/7/1 33
2/0/8/0 30
1/9/0/0 0
1/8/0/1 14
1/8/1/0 6
1/7/0/2 17
1/7/1/1 23
1/7/2/0 10
1/6/0/3 17
1/6/1/2 29
1/6/2/1 20
1/6/3/0 14
1/5/0/4 29
1/5/1/3 23
1/5/2/2 32
1/5/3/1 31
1/5/4/0 17
1/4/0/5 34
1/4/1/4 54
1/4/2/3 39
1/4/3/2 47
1/4/4/1 25
1/4/5/0 23
1/3/0/6 35
1/3/1/5 28
1/3/2/4 46
1/3/3/3 49
1/3/4/2 60
1/3/5/1 34
1/3/6/0 26
1/2/0/7 24
1/2/1/6 40
1/2/2/5 35
1/2/3/4 53
1/2/4/3 35
1/2/5/2 37
1/2/6/1 34
1/2/7/0 36
1/1/0/8 20
1/1/1/7 27
1/1/2/6 27
1/1/3/5 27
1/1/4/4 31
1/1/5/3 43
1/1/6/2 37
1/1/7/1 44
1/1/8/0 34
1/0/0/9 0
1/0/1/8 10
1/0/2/7 12
1/0/3/6 13
1/0/4/5 16
1/0/5/4 25
1/0/6/3 24
1/0/7/2 33
1/0/8/1 30
1/0/9/0 39
0/10/0/0 0
0/9/0/1 9
0/9/1/0 3
0/8/0/2 20
0/8/1/1 28
0/8/2/0 9
0/7/0/3 19
0/7/1/2 40
0/7/2/1 17
0/7/3/0 13
0/6/0/4 29
0/6/1/3 32
0/6/2/2 33
0/6/3/1 32
0/6/4/0 18
0/5/0/5 30
0/5/1/4 50
0/5/2/3 40
0/5/3/2 45
0/5/4/1 29
0/5/5/0 20
0/4/0/6 35
0/4/1/5 36
0/4/2/4 35
0/4/3/3 34
0/4/4/2 46
0/4/5/1 41
0/4/6/0 25
0/3/0/7 46
0/3/1/6 45
0/3/2/5 53
0/3/3/4 44
0/3/4/3 40
0/3/5/2 37
0/3/6/1 57
0/3/7/0 30
0/2/0/8 34
0/2/1/7 37
0/2/2/6 34
0/2/3/5 47
