RBCH P
7/0/0/0 0
6/1/0/0 0
6/0/0/1 0
6/0/1/0 5
5/2/0/0 1
5/1/0/1 10
5/1/1/0 4
5/0/0/2 0
5/0/1/1 6
5/0/2/0 7
4/3/0/0 1
4/2/0/1 18
4/2/1/0 5
4/1/0/2 7
4/1/1/1 13
4/1/2/0 10
4/0/0/3 0
4/0/1/2 5
4/0/2/1 12
4/0/3/0 12
3/4/0/0 1
3/3/0/1 10
3/3/1/0 5
3/2/0/2 22
3/2/1/1 28
3/2/2/0 4
3/1/0/3 14
3/1/1/2 18
3/1/2/1 26
3/1/3/0 14
3/0/0/4 0
3/0/1/3 5
3/0/2/2 9
3/0/3/1 12
3/0/4/0 17
2/5/0/0 0
2/4/0/1 10
2/4/1/0 5
2/3/0/2 15
2/3/1/1 15
2/3/2/0 7
2/2/0/3 33
2/2/1/2 20
2/2/2/1 26
2/2/3/0 12
2/1/0/4 12
2/1/1/3 23
2/1/2/2 27
2/1/3/1 26
2/1/4/0 16
2/0/0/5 0
2/0/1/4 5
2/0/2/3 13
2/0/3/2 21
2/0/4/1 20
2/0/5/0 26
1/6/0/0 0
1/5/0/1 12
1/5/1/0 5
1/4/0/2 35
1/4/1/1 23
1/4/2/0 9
1/3/0/3 32
1/3/1/2 30
1/3/2/1 27
1/3/3/0 15
1/2/0/4 22
1/2/1/3 31
1/2/2/2 26
1/2/3/1 20
1/2/4/0 20
1/1/0/5 15
1/1/1/4 23
1/1/2/3 21
1/1/3/2 37
1/1/4/1 31
1/1/5/0 21
1/0/0/6 0
1/0/1/5 7
1/0/2/4 7
1/0/3/3 14
1/0/4/2 18
1/0/5/1 25
1/0/6/0 26
0/7/0/0 1
0/6/0/1 22
0/6/1/0 3
0/5/0/2 27
0/5/1/1 11
0/5/2/0 7
0/4/0/3 21
0/4/1/2 26
0/4/2/1 30
0/4/3/0 14
0/3/0/4 40
0/3/1/3 28
0/3/2/2 34
0/3/3/1 40
0/3/4/0 17
0/2/0/5 28
0/2/1/4 27
0/2/2/3 42
0/2/3/2 41
0/2/4/1 25
0/2/5/0 23
0/1/0/6 18
0/1/1/5 23
0/1/2/4 25
0/1/3/3 27
0/1/4/2 33
0/1/5/1 33
0/1/6/0 24
0/0/0/7 0
0/0/1/6 3
0/0/2/5 13
0/0/3/4 8
0/0/4/3 17
0/0/5/2 27
0/0/6/1 29
0/0/7/0 32
