RBCH P
13/0/0/0 0
12/1/0/0 0
12/0/0/1 0
12/0/1/0 4
11/2/0/0 1
11/1/0/1 6
11/1/1/0 5
11/0/0/2 0
11/0/1/1 2
11/0/2/0 9
10/3/0/0 2
10/2/0/1 11
10/2/1/0 5
10/1/0/2 11
10/1/1/1 15
10/1/2/0 9
10/0/0/3 0
10/0/1/2 3
10/0/2/1 11
10/0/3/0 12
9/4/0/0 0
9/3/0/1 21
9/3/1/0 4
9/2/0/2 8
9/2/1/1 14
9/2/2/0 7
9/1/0/3 8
9/1/1/2 21
9/1/2/1 23
9/1/3/0 13
9/0/0/4 0
9/0/1/3 5
9/0/2/2 7
9/0/3/1 12
9/0/4/0 17
8/5/0/0 0
8/4/0/1 15
8/4/1/0 3
8/3/0/2 22
8/3/1/1 21
8/3/2/0 7
8/2/0/3 20
8/2/1/2 20
8/2/2/1 22
8/2/3/0 14
8/1/0/4 18
8/1/1/3 19
8/1/2/2 24
8/1/3/1 23
8/1/4/0 16
8/0/0/5 0
8/0/1/4 4
8/0/2/3 13
8/0/3/2 16
8/0/4/1 15
8/0/5/0 20
7/6/0/0 0
7/5/0/1 12
7/5/1/0 5
7/4/0/2 25
7/4/1/1 18
7/4/2/0 8
7/3/0/3 30
7/3/1/2 15
7/3/2/1 23
7/3/3/0 12
7/2/0/4 18
7/2/1/3 36
7/2/2/2 36
7/2/3/1 21
7/2/4/0 17
7/1/0/5 13
7/1/1/4 25
7/1/2/3 26
7/1/3/2 28
7/1/4/1 23
7/1/5/0 19
7/0/0/6 0
7/0/1/5 5
7/0/2/4 9
7/0/3/3 16
7/0/4/2 14
7/0/5/1 18
7/0/6/0 26
6/7/0/0 1
6/6/0/1 6
6/6/1/0 4
6/5/0/2 25
6/5/1/1 18
6/5/2/0 10
6/4/0/3 36
6/4/1/2 21
6/4/2/1 27
6/4/3/0 14
6/3/0/4 32
6/3/1/3 32
6/3/2/2 30
6/3/3/1 23
6/3/4/0 20
6/2/0/5 24
6/2/1/4 32
6/2/2/3 33
6/2/3/2 32
6/2/4/1 28
6/2/5/0 24
6/1/0/6 8
6/1/1/5 13
6/1/2/4 23
6/1/3/3 31
6/1/4/2 35
6/1/5/1 30
6/1/6/0 23
6/0/0/7 0
6/0/1/6 2
6/0/2/5 9
6/0/3/4 11
6/0/4/3 20
6/0/5/2 24
6/0/6/1 23
6/0/7/0 29
5/8/0/0 1
5/7/0/1 15
5/7/1/0 4
5/6/0/2 21
5/6/1/1 15
5/6/2/0 8
5/5/0/3 28
5/5/1/2 34
5/5/2/1 29
5/5/3/0 11
5/4/0/4 38
5/4/1/3 29
5/4/2/2 26
5/4/3/1 23
5/4/4/0 19
5/3/0/5 30
5/3/1/4 37
5/3/2/3 37
5/3/3/2 32
5/3/4/1 29
5/3/5/0 20
5/2/0/6 20
5/2/1/5 31
5/2/2/4 32
5/2/3/3 52
5/2/4/2 43
5/2/5/1 33
5/2/6/0 23
5/1/0/7 19
5/1/1/6 26
5/1/2/5 30
5/1/3/4 31
5/1/4/3 35
5/1/5/2 40
5/1/6/1 37
5/1/7/0 27
5/0/0/8 0
5/0/1/7 7
5/0/2/6 11
5/0/3/5 15
5/0/4/4 17
5/0/5/3 22
5/0/6/2 26
5/0/7/1 32
5/0/8/0 34
4/9/0/0 0
4/8/0/1 9
4/8/1/0 5
4/7/0/2 15
4/7/1/1 8
4/7/2/0 9
4/6/0/3 30
4/6/1/2 35
4/6/2/1 18
4/6/3/0 12
4/5/0/4 35
4/5/1/3 16
4/5/2/2 37
4/5/3/1 28
4/5/4/0 17
4/4/0/5 39
4/4/1/4 35
4/4/2/3 41
4/4/3/2 43
4/4/4/1 22
4/4/5/0 21
4/3/0/6 29
4/3/1/5 32
4/3/2/4 38
4/3/3/3 30
4/3/4/2 38
4/3/5/1 34
4/3/6/0 21
4/2/0/7 28
4/2/1/6 31
4/2/2/5 38
4/2/3/4 48
4/2/4/3 39
4/2/5/2 39
4/2/6/1 34
4/2/7/0 30
4/1/0/8 21
4/1/1/7 31
4/1/2/6 28
4/1/3/5 29
4/1/4/4 36
4/1/5/3 37
4/1/6/2 35
4/1/7/1 38
4/1/8/0 35
4/0/0/9 0
4/0/1/8 4
4/0/2/7 8
4/0/3/6 14
4/0/4/5 17
4/0/5/4 22
4/0/6/3 26
4/0/7/2 35
4/0/8/1 37
4/0/9/0 42
3/10/0/0 0
3/9/0/1 23
3/9/1/0 3
3/8/0/2 23
3/8/1/1 19
3/8/2/0 9
3/7/0/3 43
3/7/1/2 23
3/7/2/1 14
3/7/3/0 14
3/6/0/4 37
3/6/1/3 26
3/6/2/2 37
3/6/3/1 42
3/6/4/0 15
3/5/0/5 22
3/5/1/4 22
3/5/2/3 40
3/5/3/2 42
3/5/4/1 38
3/5/5/0 21
3/4/0/6 42
3/4/1/5 30
3/4/2/4 45
3/4/3/3 30
3/4/4/2 35
3/4/5/1 39
3/4/6/0 26
3/3/0/7 38
3/3/1/6 39
3/3/2/5 39
3/3/3/4 38
3/3/4/3 44
3/3/5/2 45
3/3/6/1 38
3/3/7/0 30
3/2/0/8 31
3/2/1/7 19
3/2/2/6 35
3/2/3/5 42
3/2/4/4 43
3/2/5/3 48
3/2/6/2 44
3/2/7/1 45
3/2/8/0 28
3/1/0/9 18
3/1/1/8 27
3/1/2/7 28
3/1/3/6 28
3/1/4/5 38
3/1/5/4 39
3/1/6/3 43
3/1/7/2 47
3/1/8/1 41
3/1/9/0 32
3/0/0/10 0
3/0/1/9 5
3/0/2/8 10
3/0/3/7 15
3/0/4/6 21
3/0/5/5 26
3/0/6/4 28
3/0/7/3 33
3/0/8/2 31
3/0/9/1 40
3/0/10/0 40
2/11/0/0 1
2/10/0/1 21
2/10/1/0 5
2/9/0/2 29
2/9/1/1 10
2/9/2/0 10
2/8/0/3 34
