RBCH P
5/0/0/0 0
4/1/0/0 0
4/0/0/1 0
4/0/1/0 5
3/2/0/0 0
3/1/0/1 8
3/1/1/0 5
3/0/0/2 0
3/0/1/1 8
3/0/2/0 9
2/3/0/0 0
2/2/0/1 10
2/2/1/0 4
2/1/0/2 15
2/1/1/1 12
2/1/2/0 9
2/0/0/3 0
2/0/1/2 4
2/0/2/1 11
2/0/3/0 12
1/4/0/0 0
1/3/0/1 17
1/3/1/0 5
1/2/0/2 33
1/2/1/1 28
1/2/2/0 6
1/1/0/3 20
1/1/1/2 25
1/1/2/1 21
1/1/3/0 12
1/0/0/4 0
1/0/1/3 4
1/0/2/2 13
1/0/3/1 13
1/0/4/0 16
0/5/0/0 1
0/4/0/1 25
0/4/1/0 6
0/3/0/2 34
0/3/1/1 24
0/3/2/0 10
0/2/0/3 23
0/2/1/2 34
0/2/2/1 30
0/2/3/0 14
0/1/0/4 17
0/1/1/3 19
0/1/2/2 30
0/1/3/1 21
0/1/4/0 18
0/0/0/5 0
0/0/1/4 8
0/0/2/3 8
0/0/3/2 14
0/0/4/1 21
0/0/5/0 23
