RBCH P
7/0/0/0 0
6/1/0/0 0
6/0/0/1 0
6/0/1/0 15
5/2/0/0 0
5/1/0/1 11
5/1/1/0 9
5/0/0/2 0
5/0/1/1 10
5/0/2/0 19
4/3/0/0 1
4/2/0/1 19
4/2/1/0 13
4/1/0/2 18
4/1/1/1 18
4/1/2/0 17
4/0/0/3 0
4/0/1/2 7
4/0/2/1 13
4/0/3/0 32
3/4/0/0 0
3/3/0/1 28
3/3/1/0 13
3/2/0/2 27
3/2/1/1 24
3/2/2/0 18
3/1/0/3 20
3/1/1/2 26
3/1/2/1 33
3/1/3/0 35
3/0/0/4 0
3/0/1/3 12
3/0/2/2 18
3/0/3/1 24
3/0/4/0 32
2/5/0/0 1
2/4/0/1 15
2/4/1/0 4
2/3/0/2 23
2/3/1/1 20
2/3/2/0 21
2/2/0/3 34
2/2/1/2 41
2/2/2/1 37
2/2/3/0 30
2/1/0/4 16
2/1/1/3 28
2/1/2/2 40
2/1/3/1 23
2/1/4/0 28
2/0/0/5 0
2/0/1/4 6
2/0/2/3 20
2/0/3/2 21
2/0/4/1 45
2/0/5/0 35
1/6/0/0 1
1/5/0/1 13
1/5/1/0 5
1/4/0/2 23
1/4/1/1 35
1/4/2/0 12
1/3/0/3 34
1/3/1/2 32
1/3/2/1 43
1/3/3/0 31
1/2/0/4 23
1/2/1/3 55
1/2/2/2 34
1/2/3/1 34
1/2/4/0 37
1/1/0/5 22
1/1/1/4 24
1/1/2/3 29
1/1/3/2 51
1/1/4/1 50
1/1/5/0 45
1/0/0/6 0
1/0/1/5 10
1/0/2/4 22
1/0/3/3 19
1/0/4/2 33
1/0/5/1 45
1/0/6/0 52
0/7/0/0 3
0/6/0/1 34
0/6/1/0 7
0/5/0/2 33
0/5/1/1 28
0/5/2/0 17
0/4/0/3 27
0/4/1/2 45
0/4/2/1 36
0/4/3/0 29
0/3/0/4 41
0/3/1/3 48
0/3/2/2 43
0/3/3/1 39
0/3/4/0 36
0/2/0/5 23
0/2/1/4 39
0/2/2/3 34
0/2/3/2 40
0/2/4/1 46
0/2/5/0 43
0/1/0/6 24
0/1/1/5 22
0/1/2/4 45
0/1/3/3 48
0/1/4/2 46
0/1/5/1 46
0/1/6/0 50
0/0/0/7 0
0/0/1/6 5
0/0/2/5 17
0/0/3/4 15
0/0/4/3 29
0/0/5/2 34
0/0/6/1 45
0/0/7/0 51
