RBCH P
8/0/0/0 0
7/1/0/0 0
7/0/0/1 0
7/0/1/0 4
6/2/0/0 0
6/1/0/1 9
6/1/1/0 5
6/0/0/2 0
6/0/1/1 6
6/0/2/0 10
5/3/0/0 0
5/2/0/1 12
5/2/1/0 4
5/1/0/2 10
5/1/1/1 15
5/1/2/0 7
5/0/0/3 0
5/0/1/2 5
5/0/2/1 10
5/0/3/0 13
4/4/0/0 0
4/3/0/1 23
4/3/1/0 4
4/2/0/2 12
4/2/1/1 11
4/2/2/0 8
4/1/0/3 16
4/1/1/2 17
4/1/2/1 17
4/1/3/0 13
4/0/0/4 0
4/0/1/3 5
4/0/2/2 9
4/0/3/1 16
4/0/4/0 19
3/5/0/0 0
3/4/0/1 12
3/4/1/0 3
3/3/0/2 15
3/3/1/1 24
3/3/2/0 11
3/2/0/3 28
3/2/1/2 26
3/2/2/1 29
3/2/3/0 13
3/1/0/4 20
3/1/1/3 18
3/1/2/2 26
3/1/3/1 19
3/1/4/0 18
3/0/0/5 0
3/0/1/4 6
3/0/2/3 10
3/0/3/2 15
3/0/4/1 19
3/0/5/0 24
2/6/0/0 0
2/5/0/1 21
2/5/1/0 5
2/4/0/2 32
2/4/1/1 19
2/4/2/0 8
2/3/0/3 21
2/3/1/2 40
2/3/2/1 34
2/3/3/0 14
2/2/0/4 34
2/2/1/3 28
2/2/2/2 17
2/2/3/1 35
2/2/4/0 19
2/1/0/5 12
2/1/1/4 28
2/1/2/3 17
2/1/3/2 31
2/1/4/1 27
2/1/5/0 21
2/0/0/6 0
2/0/1/5 4
2/0/2/4 13
2/0/3/3 14
2/0/4/2 20
2/0/5/1 23
2/0/6/0 26
1/7/0/0 0
1/6/0/1 19
1/6/1/0 5
1/5/0/2 27
1/5/1/1 20
1/5/2/0 8
1/4/0/3 24
1/4/1/2 31
1/4/2/1 28
1/4/3/0 14
1/3/0/4 21
1/3/1/3 28
1/3/2/2 52
1/3/3/1 34
1/3/4/0 19
1/2/0/5 28
1/2/1/4 33
1/2/2/3 33
1/2/3/2 37
1/2/4/1 25
1/2/5/0 21
1/1/0/6 20
1/1/1/5 20
1/1/2/4 24
1/1/3/3 36
1/1/4/2 43
1/1/5/1 31
1/1/6/0 26
1/0/0/7 0
1/0/1/6 10
1/0/2/5 7
1/0/3/4 15
1/0/4/3 13
1/0/5/2 26
1/0/6/1 23
1/0/7/0 30
0/8/0/0 1
0/7/0/1 16
0/7/1/0 4
0/6/0/2 27
0/6/1/1 19
0/6/2/0 8
0/5/0/3 23
0/5/1/2 15
0/5/2/1 35
0/5/3/0 13
0/4/0/4 43
0/4/1/3 35
0/4/2/2 24
0/4/3/1 20
0/4/4/0 15
0/3/0/5 34
0/3/1/4 43
0/3/2/3 32
0/3/3/2 48
0/3/4/1 32
0/3/5/0 24
0/2/0/6 34
0/2/1/5 33
0/2/2/4 35
0/2/3/3 30
0/2/4/2 41
0/2/5/1 45
0/2/6/0 24
0/1/0/7 18
0/1/1/6 28
0/1/2/5 23
0/1/3/4 29
0/1/4/3 43
0/1/5/2 37
0/1/6/1 42
0/1/7/0 32
0/0/0/8 0
0/0/1/7 8
0/0/2/6 8
0/0/3/5 13
0/0/4/4 22
0/0/5/3 23
0/0/6/2 35
0/0/7/1 31
0/0/8/0 33
