RBCH P
11/0/0/0 0
10/1/0/0 1
10/0/0/1 0
10/0/1/0 4
9/2/0/0 0
9/1/0/1 17
9/1/1/0 5
9/0/0/2 0
9/0/1/1 2
9/0/2/0 8
8/3/0/0 1
8/2/0/1 9
8/2/1/0 4
8/1/0/2 16
8/1/1/1 17
8/1/2/0 8
8/0/0/3 0
8/0/1/2 7
8/0/2/1 7
8/0/3/0 12
7/4/0/0 0
7/3/0/1 16
7/3/1/0 3
7/2/0/2 27
7/2/1/1 24
7/2/2/0 8
7/1/0/3 18
7/1/1/2 12
7/1/2/1 16
7/1/3/0 13
7/0/0/4 0
7/0/1/3 6
7/0/2/2 10
7/0/3/1 11
7/0/4/0 13
6/5/0/0 1
6/4/0/1 8
6/4/1/0 4
6/3/0/2 10
6/3/1/1 21
6/3/2/0 9
6/2/0/3 25
6/2/1/2 33
6/2/2/1 24
6/2/3/0 13
6/1/0/4 17
6/1/1/3 17
6/1/2/2 29
6/1/3/1 25
6/1/4/0 19
6/0/0/5 0
6/0/1/4 9
6/0/2/3 8
6/0/3/2 19
6/0/4/1 19
6/0/5/0 22
5/6/0/0 1
5/5/0/1 6
5/5/1/0 5
5/4/0/2 32
5/4/1/1 36
5/4/2/0 9
5/3/0/3 26
5/3/1/2 21
5/3/2/1 16
5/3/3/0 13
5/2/0/4 22
5/2/1/3 29
5/2/2/2 30
5/2/3/1 24
5/2/4/0 18
5/1/0/5 17
5/1/1/4 20
5/1/2/3 28
5/1/3/2 31
5/1/4/1 25
5/1/5/0 24
5/0/0/6 0
5/0/1/5 5
5/0/2/4 9
5/0/3/3 11
5/0/4/2 18
5/0/5/1 19
5/0/6/0 25
4/7/0/0 0
4/6/0/1 12
4/6/1/0 5
4/5/0/2 21
4/5/1/1 24
4/5/2/0 9
4/4/0/3 31
4/4/1/2 29
4/4/2/1 25
4/4/3/0 14
4/3/0/4 35
4/3/1/3 25
4/3/2/2 32
4/3/3/1 36
4/3/4/0 19
4/2/0/5 26
4/2/1/4 23
4/2/2/3 22
4/2/3/2 28
4/2/4/1 29
4/2/5/0 21
4/1/0/6 20
4/1/1/5 17
4/1/2/4 27
4/1/3/3 32
4/1/4/2 30
4/1/5/1 28
4/1/6/0 24
4/0/0/7 0
4/0/1/6 5
4/0/2/5 9
4/0/3/4 17
4/0/4/3 17
4/0/5/2 25
4/0/6/1 28
4/0/7/0 21
3/8/0/0 2
3/7/0/1 12
3/7/1/0 5
3/6/0/2 23
3/6/1/1 11
3/6/2/0 9
3/5/0/3 25
3/5/1/2 27
3/5/2/1 15
3/5/3/0 13
3/4/0/4 30
3/4/1/3 38
3/4/2/2 43
3/4/3/1 25
3/4/4/0 17
3/3/0/5 39
3/3/1/4 39
3/3/2/3 36
3/3/3/2 36
3/3/4/1 37
3/3/5/0 17
3/2/0/6 26
3/2/1/5 36
3/2/2/4 41
3/2/3/3 33
3/2/4/2 41
3/2/5/1 35
3/2/6/0 23
3/1/0/7 15
3/1/1/6 26
3/1/2/5 28
3/1/3/4 30
3/1/4/3 33
3/1/5/2 35
3/1/6/1 35
3/1/7/0 30
3/0/0/8 0
3/0/1/7 5
3/0/2/6 11
3/0/3/5 14
3/0/4/4 23
3/0/5/3 20
3/0/6/2 29
3/0/7/1 31
3/0/8/0 29
2/9/0/0 0
2/8/0/1 15
2/8/1/0 5
2/7/0/2 29
2/7/1/1 16
2/7/2/0 9
2/6/0/3 24
2/6/1/2 30
2/6/2/1 19
2/6/3/0 15
2/5/0/4 34
2/5/1/3 45
2/5/2/2 44
2/5/3/1 25
2/5/4/0 18
2/4/0/5 29
2/4/1/4 39
2/4/2/3 39
2/4/3/2 46
2/4/4/1 29
2/4/5/0 21
2/3/0/6 29
2/3/1/5 34
2/3/2/4 40
2/3/3/3 39
2/3/4/2 47
2/3/5/1 38
2/3/6/0 26
2/2/0/7 22
2/2/1/6 39
2/2/2/5 36
2/2/3/4 34
2/2/4/3 37
2/2/5/2 39
2/2/6/1 38
2/2/7/0 30
2/1/0/8 21
2/1/1/7 26
2/1/2/6 31
2/1/3/5 30
2/1/4/4 38
2/1/5/3 32
2/1/6/2 44
2/1/7/1 45
2/1/8/0 34
2/0/0/9 0
2/0/1/8 4
2/0/2/7 9
2/0/3/6 11
2/0/4/5 23
2/0/5/4 29
2/0/6/3 25
2/0/7/2 34
2/0/8/1 35
2/0/9/0 36
1/10/0/0 1
1/9/0/1 10
1/9/1/0 5
1/8/0/2 31
1/8/1/1 11
1/8/2/0 9
1/7/0/3 25
1/7/1/2 27
1/7/2/1 23
1/7/3/0 13
1/6/0/4 22
1/6/1/3 30
1/6/2/2 35
1/6/3/1 35
1/6/4/0 18
1/5/0/5 26
1/5/1/4 41
1/5/2/3 34
1/5/3/2 48
1/5/4/1 30
1/5/5/0 22
1/4/0/6 41
1/4/1/5 24
1/4/2/4 45
1/4/3/3 60
1/4/4/2 58
1/4/5/1 44
1/4/6/0 27
1/3/0/7 37
1/3/1/6 31
1/3/2/5 42
1/3/3/4 48
1/3/4/3 47
1/3/5/2 46
1/3/6/1 47
1/3/7/0 31
1/2/0/8 32
1/2/1/7 37
1/2/2/6 32
1/2/3/5 40
1/2/4/4 40
1/2/5/3 43
1/2/6/2 45
1/2/7/1 51
1/2/8/0 35
1/1/0/9 12
1/1/1/8 21
1/1/2/7 25
1/1/3/6 37
1/1/4/5 36
1/1/5/4 40
1/1/6/3 44
1/1/7/2 46
1/1/8/1 40
1/1/9/0 39
1/0/0/10 0
1/0/1/9 3
1/0/2/8 12
1/0/3/7 14
1/0/4/6 19
1/0/5/5 21
1/0/6/4 27
1/0/7/3 32
1/0/8/2 28
1/0/9/1 40
1/0/10/0 41
0/11/0/0 1
0/10/0/1 16
0/10/1/0 4
0/9/0/2 16
0/9/1/1 23
0/9/2/0 10
0/8/0/3 27
0/8/1/2 22
0/8/2/1 22
0/8/3/0 11
0/7/0/4 36
0/7/1/3 29
0/7/2/2 25
0/7/3/1 34
0/7/4/0 15
0/6/0/5 32
0/6/1/4 22
0/6/2/3 34
0/6/3/2 29
0/6/4/1 31
0/6/5/0 22
0/5/0/6 47
0/5/1/5 52
0/5/2/4 48
0/5/3/3 28
0/5/4/2 40
0/5/5/1 25
0/5/6/0 29
0/4/0/7 36
0/4/1/6 30
0/4/2/5 43
0/4/3/4 51
0/4/4/3 48
0/4/5/2 65
0/4/6/1 46
0/4/7/0 31
0/3/0/8 30
0/3/1/7 42
0/3/2/6 54
0/3/3/5 46
0/3/4/4 50
0/3/5/3 45
0/3/6/2 43
0/3/7/1 51
0/3/8/0 33
0/2/0/9 35
0/2/1/8 40
0/2/2/7 37
0/2/3/6 45
0/2/4/5 44
0/2/5/4 40
0/2/6/3 54
0/2/7/2 54
0/2/8/1 50
0/2/9/0 29
0/1/0/10 21
0/1/1/9 24
0/1/2/8 25
0/1/3/7 41
0/1/4/6 39
0/1/5/5 42
0/1/6/4 33
0/1/7/3 47
0/1/8/2 44
0/1/9/1 52
0/1/10/0 36
0/0/0/11 0
0/0/1/10 8
0/0/2/9 9
0/0/3/8 14
0/0/4/7 16
0/0/5/6 21
0/0/6/5 35
0/0/7/4 31
0/0/8/3 44
0/0/9/2 42
0/0/10/1 45
0/0/11/0 43
