RBCH P
14/0/0/0 0
13/1/0/0 0
13/0/0/1 0
13/0/1/0 4
12/2/0/0 0
12/1/0/1 9
12/1/1/0 5
12/0/0/2 0
12/0/1/1 6
12/0/2/0 8
11/3/0/0 0
11/2/0/1 20
11/2/1/0 4
11/1/0/2 8
11/1/1/1 15
11/1/2/0 11
11/0/0/3 0
11/0/1/2 5
11/0/2/1 9
11/0/3/0 14
10/4/0/0 0
10/3/0/1 12
10/3/1/0 4
10/2/0/2 13
10/2/1/1 14
10/2/2/0 9
10/1/0/3 13
10/1/1/2 20
10/1/2/1 25
10/1/3/0 12
10/0/0/4 0
10/0/1/3 5
10/0/2/2 9
10/0/3/1 13
10/0/4/0 18
9/5/0/0 0
9/4/0/1 6
9/4/1/0 5
9/3/0/2 28
9/3/1/1 19
9/3/2/0 10
9/2/0/3 19
9/2/1/2 20
9/2/2/1 23
9/2/3/0 14
9/1/0/4 14
9/1/1/3 17
9/1/2/2 23
9/1/3/1 27
9/1/4/0 15
9/0/0/5 0
9/0/1/4 4
9/0/2/3 10
9/0/3/2 14
9/0/4/1 15
9/0/5/0 25
8/6/0/0 1
8/5/0/1 11
8/5/1/0 5
8/4/0/2 14
8/4/1/1 13
8/4/2/0 10
8/3/0/3 33
8/3/1/2 24
8/3/2/1 34
8/3/3/0 15
8/2/0/4 22
8/2/1/3 34
8/2/2/2 30
8/2/3/1 30
8/2/4/0 19
8/1/0/5 14
8/1/1/4 24
8/1/2/3 26
8/1/3/2 23
8/1/4/1 30
8/1/5/0 21
8/0/0/6 0
8/0/1/5 6
8/0/2/4 10
8/0/3/3 10
8/0/4/2 23
8/0/5/1 19
8/0/6/0 25
7/7/0/0 1
7/6/0/1 17
7/6/1/0 4
7/5/0/2 36
7/5/1/1 18
7/5/2/0 7
7/4/0/3 24
7/4/1/2 36
7/4/2/1 19
7/4/3/0 14
7/3/0/4 30
7/3/1/3 27
7/3/2/2 19
7/3/3/1 23
7/3/4/0 18
7/2/0/5 19
7/2/1/4 20
7/2/2/3 33
7/2/3/2 26
7/2/4/1 32
7/2/5/0 22
7/1/0/6 16
7/1/1/5 21
7/1/2/4 21
7/1/3/3 22
7/1/4/2 32
7/1/5/1 32
7/1/6/0 20
7/0/0/7 0
7/0/1/6 4
7/0/2/5 11
7/0/3/4 10
7/0/4/3 21
7/0/5/2 21
7/0/6/1 19
7/0/7/0 27
6/8/0/0 0
6/7/0/1 8
6/7/1/0 5
6/6/0/2 21
6/6/1/1 12
6/6/2/0 8
6/5/0/3 27
6/5/1/2 26
6/5/2/1 24
6/5/3/0 13
6/4/0/4 25
6/4/1/3 28
6/4/2/2 26
6/4/3/1 34
6/4/4/0 17
6/3/0/5 48
6/3/1/4 45
6/3/2/3 27
6/3/3/2 32
6/3/4/1 27
6/3/5/0 22
6/2/0/6 26
6/2/1/5 27
6/2/2/4 29
6/2/3/3 35
6/2/4/2 30
6/2/5/1 41
6/2/6/0 26
6/1/0/7 17
6/1/1/6 22
6/1/2/5 22
6/1/3/4 37
6/1/4/3 27
6/1/5/2 35
6/1/6/1 39
6/1/7/0 33
6/0/0/8 0
