RBCH P
15/0/0/0 0
14/1/0/0 0
14/0/0/1 0
14/0/1/0 3
13/2/0/0 0
13/1/0/1 7
13/1/1/0 4
13/0/0/2 0
13/0/1/1 5
13/0/2/0 8
12/3/0/0 0
12/2/0/1 15
12/2/1/0 5
12/1/0/2 11
12/1/1/1 11
12/1/2/0 11
12/0/0/3 0
12/0/1/2 2
12/0/2/1 9
12/0/3/0 12
11/4/0/0 0
11/3/0/1 11
11/3/1/0 4
11/2/0/2 11
11/2/1/1 20
11/2/2/0 7
11/1/0/3 15
11/1/1/2 16
11/1/2/1 25
11/1/3/0 13
11/0/0/4 0
11/0/1/3 3
11/0/2/2 9
11/0/3/1 19
11/0/4/0 16
10/5/0/0 0
10/4/0/1 8
10/4/1/0 5
10/3/0/2 24
10/3/1/1 16
10/3/2/0 8
10/2/0/3 16
10/2/1/2 31
10/2/2/1 23
10/2/3/0 15
10/1/0/4 12
10/1/1/3 21
10/1/2/2 19
10/1/3/1 18
10/1/4/0 19
10/0/0/5 0
10/0/1/4 2
10/0/2/3 9
10/0/3/2 14
10/0/4/1 15
10/0/5/0 23
9/6/0/0 0
9/5/0/1 12
9/5/1/0 5
9/4/0/2 22
9/4/1/1 26
9/4/2/0 8
9/3/0/3 29
9/3/1/2 17
9/3/2/1 30
9/3/3/0 15
9/2/0/4 26
9/2/1/3 23
9/2/2/2 32
9/2/3/1 26
9/2/4/0 18
9/1/0/5 18
9/1/1/4 22
9/1/2/3 26
9/1/3/2 26
9/1/4/1 26
9/1/5/0 23
9/0/0/6 0
9/0/1/5 3
9/0/2/4 9
9/0/3/3 13
9/0/4/2 15
9/0/5/1 26
9/0/6/0 19
8/7/0/0 1
8/6/0/1 12
8/6/1/0 5
8/5/0/2 9
8/5/1/1 17
8/5/2/0 9
8/4/0/3 31
8/4/1/2 29
8/4/2/1 22
8/4/3/0 14
8/3/0/4 26
8/3/1/3 34
8/3/2/2 20
8/3/3/1 25
8/3/4/0 15
8/2/0/5 32
8/2/1/4 30
8/2/2/3 28
8/2/3/2 35
8/2/4/1 34
8/2/5/0 19
8/1/0/6 14
8/1/1/5 17
8/1/2/4 21
8/1/3/3 26
8/1/4/2 32
8/1/5/1 34
8/1/6/0 27
8/0/0/7 0
8/0/1/6 2
8/0/2/5 10
8/0/3/4 18
8/0/4/3 15
8/0/5/2 27
8/0/6/1 23
8/0/7/0 29
7/8/0/0 0
7/7/0/1 10
7/7/1/0 4
7/6/0/2 20
7/6/1/1 13
7/6/2/0 8
7/5/0/3 35
7/5/1/2 25
7/5/2/1 30
7/5/3/0 13
7/4/0/4 19
7/4/1/3 28
7/4/2/2 16
7/4/3/1 24
7/4/4/0 17
7/3/0/5 28
7/3/1/4 25
7/3/2/3 54
7/3/3/2 37
7/3/4/1 36
7/3/5/0 22
7/2/0/6 14
7/2/1/5 32
7/2/2/4 42
7/2/3/3 38
7/2/4/2 43
7/2/5/1 28
7/2/6/0 28
7/1/0/7 8
7/1/1/6 18
7/1/2/5 30
7/1/3/4 24
7/1/4/3 36
7/1/5/2 40
7/1/6/1 46
7/1/7/0 29
7/0/0/8 0
7/0/1/7 3
7/0/2/6 10
7/0/3/5 16
7/0/4/4 17
7/0/5/3 21
7/0/6/2 25
7/0/7/1 29
7/0/8/0 35
6/9/0/0 0
6/8/0/1 14
6/8/1/0 5
6/7/0/2 34
6/7/1/1 16
6/7/2/0 10
6/6/0/3 25
6/6/1/2 28
6/6/2/1 18
6/6/3/0 15
6/5/0/4 14
6/5/1/3 20
6/5/2/2 25
6/5/3/1 21
6/5/4/0 19
6/4/0/5 32
6/4/1/4 34
6/4/2/3 35
6/4/3/2 41
6/4/4/1 30
6/4/5/0 21
6/3/0/6 32
6/3/1/5 38
6/3/2/4 44
6/3/3/3 34
6/3/4/2 41
6/3/5/1 35
6/3/6/0 21
6/2/0/7 24
6/2/1/6 33
6/2/2/5 28
6/2/3/4 37
6/2/4/3 39
6/2/5/2 35
6/2/6/1 36
6/2/7/0 31
6/1/0/8 18
6/1/1/7 14
6/1/2/6 26
6/1/3/5 36
6/1/4/4 41
6/1/5/3 34
6/1/6/2 30
6/1/7/1 39
6/1/8/0 34
6/0/0/9 0
6/0/1/8 8
6/0/2/7 8
6/0/3/6 13
6/0/4/5 24
6/0/5/4 20
6/0/6/3 31
6/0/7/2 35
6/0/8/1 32
6/0/9/0 37
5/10/0/0 1
5/9/0/1 17
5/9/1/0 3
5/8/0/2 22
5/8/1/1 26
5/8/2/0 9
5/7/0/3 27
5/7/1/2 26
5/7/2/1 19
5/7/3/0 13
5/6/0/4 21
5/6/1/3 25
5/6/2/2 27
5/6/3/1 29
5/6/4/0 15
5/5/0/5 31
5/5/1/4 28
5/5/2/3 33
5/5/3/2 36
5/5/4/1 36
5/5/5/0 25
5/4/0/6 36
5/4/1/5 35
5/4/2/4 56
5/4/3/3 39
5/4/4/2 36
5/4/5/1 57
5/4/6/0 22
5/3/0/7 25
5/3/1/6 25
5/3/2/5 44
5/3/3/4 36
5/3/4/3 34
5/3/5/2 48
5/3/6/1 42
5/3/7/0 29
5/2/0/8 28
5/2/1/7 24
5/2/2/6 44
5/2/3/5 40
5/2/4/4 50
5/2/5/3 45
5/2/6/2 41
5/2/7/1 37
5/2/8/0 33
5/1/0/9 12
5/1/1/8 22
5/1/2/7 27
5/1/3/6 32
5/1/4/5 33
5/1/5/4 44
5/1/6/3 39
5/1/7/2 49
5/1/8/1 37
5/1/9/0 38
5/0/0/10 0
5/0/1/9 3
5/0/2/8 11
5/0/3/7 16
5/0/4/6 18
5/0/5/5 16
5/0/6/4 26
5/0/7/3 27
5/0/8/2 35
5/0/9/1 26
5/0/10/0 39
4/11/0/0 0
4/10/0/1 4
4/10/1/0 5
4/9/0/2 17
4/9/1/1 18
4/9/2/0 9
4/8/0/3 25
4/8/1/2 29
4/8/2/1 23
4/8/3/0 12
4/7/0/4 27
4/7/1/3 29
4/7/2/2 27
4/7/3/1 30
4/7/4/0 14
4/6/0/5 24
4/6/1/4 27
4/6/2/3 17
4/6/3/2 36
4/6/4/1 28
4/6/5/0 23
4/5/0/6 30
4/5/1/5 32
4/5/2/4 40
4/5/3/3 27
4/5/4/2 28
4/5/5/1 38
4/5/6/0 25
4/4/0/7 41
4/4/1/6 28
4/4/2/5 40
4/4/3/4 58
4/4/4/3 25
4/4/5/2 48
4/4/6/1 26
4/4/7/0 26
4/3/0/8 34
4/3/1/7 45
4/3/2/6 48
4/3/3/5 52
4/3/4/4 48
4/3/5/3 41
4/3/6/2 51
4/3/7/1 47
4/3/8/0 30
4/2/0/9 27
4/2/1/8 26
4/2/2/7 44
4/2/3/6 38
4/2/4/5 30
4/2/5/4 41
4/2/6/3 39
4/2/7/2 44
4/2/8/1 45
4/2/9/0 35
4/1/0/10 18
4/1/1/9 19
4/1/2/8 22
4/1/3/7 23
4/1/4/6 27
4/1/5/5 39
4/1/6/4 42
4/1/7/3 42
4/1/8/2 40
4/1/9/1 51
4/1/10/0 33
4/0/0/11 0
4/0/1/10 4
4/0/2/9 16
4/0/3/8 16
4/0/4/7 21
4/0/5/6 21
4/0/6/5 24
4/0/7/4 30
4/0/8/3 35
4/0/9/2 37
4/0/10/1 37
4/0/11/0 43
3/12/0/0 2
3/11/0/1 18
3/11/1/0 5
3/10/0/2 19
3/10/1/1 25
3/10/2/0 11
3/9/0/3 26
3/9/1/2 32
3/9/2/1 25
3/9/3/0 12
3/8/0/4 28
3/8/1/3 35
3/8/2/2 32
3/8/3/1 30
3/8/4/0 15
3/7/0/5 26
3/7/1/4 27
3/7/2/3 36
3/7/3/2 31
3/7/4/1 36
3/7/5/0 23
3/6/0/6 26
3/6/1/5 47
3/6/2/4 34
3/6/3/3 53
3/6/4/2 31
3/6/5/1 44
3/6/6/0 25
3/5/0/7 42
3/5/1/6 51
3/5/2/5 44
3/5/3/4 32
3/5/4/3 45
3/5/5/2 37
3/5/6/1 41
3/5/7/0 28
3/4/0/8 38
3/4/1/7 31
3/4/2/6 31
3/4/3/5 36
3/4/4/4 52
3/4/5/3 42
3/4/6/2 42
3/4/7/1 42
3/4/8/0 34
3/3/0/9 33
3/3/1/8 46
3/3/2/7 48
3/3/3/6 45
3/3/4/5 47
3/3/5/4 44
3/3/6/3 48
3/3/7/2 43
3/3/8/1 47
3/3/9/0 38
3/2/0/10 29
3/2/1/9 40
3/2/2/8 33
3/2/3/7 43
3/2/4/6 47
3/2/5/5 55
3/2/6/4 57
3/2/7/3 53
3/2/8/2 60
3/2/9/1 48
3/2/10/0 37
3/1/0/11 15
3/1/1/10 16
3/1/2/9 28
3/1/3/8 25
3/1/4/7 27
3/1/5/6 34
3/1/6/5 45
3/1/7/4 41
3/1/8/3 49
3/1/9/2 51
3/1/10/1 50
3/1/11/0 42
3/0/0/12 0
3/0/1/11 6
3/0/2/10 8
3/0/3/9 18
3/0/4/8 14
3/0/5/7 22
3/0/6/6 30
3/0/7/5 28
3/0/8/4 38
3/0/9/3 39
3/0/10/2 37
3/0/11/1 42
3/0/12/0 40
2/13/0/0 2
2/12/0/1 21
2/12/1/0 5
2/11/0/2 10
2/11/1/1 20
2/11/2/0 8
2/10/0/3 28
2/10/1/2 33
2/10/2/1 19
2/10/3/0 14
2/9/0/4 31
2/9/1/3 19
2/9/2/2 32
2/9/3/1 39
2/9/4/0 17
2/8/0/5 30
2/8/1/4 24
2/8/2/3 27
2/8/3/2 46
2/8/4/1 38
2/8/5/0 20
2/7/0/6 34
2/7/1/5 45
2/7/2/4 37
2/7/3/3 48
2/7/4/2 41
2/7/5/1 48
2/7/6/0 26
2/6/0/7 34
2/6/1/6 36
2/6/2/5 62
2/6/3/4 39
2/6/4/3 42
2/6/5/2 33
2/6/6/1 31
2/6/7/0 27
2/5/0/8 42
2/5/1/7 51
2/5/2/6 29
2/5/3/5 50
2/5/4/4 46
2/5/5/3 42
2/5/6/2 40
2/5/7/1 60
2/5/8/0 34
2/4/0/9 47
2/4/1/8 32
2/4/2/7 42
2/4/3/6 44
2/4/4/5 52
2/4/5/4 63
2/4/6/3 47
2/4/7/2 47
2/4/8/1 45
2/4/9/0 36
2/3/0/10 41
2/3/1/9 39
2/3/2/8 43
2/3/3/7 41
2/3/4/6 49
2/3/5/5 54
2/3/6/4 60
2/3/7/3 67
2/3/8/2 41
2/3/9/1 44
2/3/10/0 39
2/2/0/11 25
2/2/1/10 35
2/2/2/9 33
2/2/3/8 40
2/2/4/7 44
2/2/5/6 43
2/2/6/5 46
2/2/7/4 53
2/2/8/3 53
2/2/9/2 44
2/2/10/1 51
2/2/11/0 46
2/1/0/12 19
2/1/1/11 24
2/1/2/10 29
2/1/3/9 39
2/1/4/8 24
2/1/5/7 36
2/1/6/6 40
2/1/7/5 47
2/1/8/4 56
2/1/9/3 59
2/1/10/2 45
2/1/11/1 50
2/1/12/0 40
2/0/0/13 0
2/0/1/12 2
2/0/2/11 3
2/0/3/10 11
2/0/4/9 25
2/0/5/8 24
2/0/6/7 34
2/0/7/6 37
2/0/8/5 29
2/0/9/4 43
2/0/10/3 42
2/0/11/2 44
2/0/12/1 46
2/0/13/0 44
1/14/0/0 1
1/13/0/1 13
1/13/1/0 4
1/12/0/2 14
1/12/1/1 7
1/12/2/0 8
1/11/0/3 26
1/11/1/2 27
1/11/2/1 19
1/11/3/0 13
1/10/0/4 28
1/10/1/3 15
1/10/2/2 39
1/10/3/1 27
1/10/4/0 19
1/9/0/5 29
1/9/1/4 46
1/9/2/3 34
1/9/3/2 29
1/9/4/1 34
1/9/5/0 19
1/8/0/6 33
1/8/1/5 40
1/8/2/4 35
1/8/3/3 57
1/8/4/2 36
1/8/5/1 48
1/8/6/0 26
1/7/0/7 31
1/7/1/6 36
1/7/2/5 42
1/7/3/4 33
1/7/4/3 41
1/7/5/2 61
1/7/6/1 46
1/7/7/0 33
1/6/0/8 45
1/6/1/7 56
1/6/2/6 48
1/6/3/5 51
1/6/4/4 48
1/6/5/3 52
1/6/6/2 37
1/6/7/1 48
1/6/8/0 37
1/5/0/9 35
1/5/1/8 43
1/5/2/7 39
1/5/3/6 43
1/5/4/5 54
1/5/5/4 66
1/5/6/3 47
1/5/7/2 48
1/5/8/1 49
1/5/9/0 36
1/4/0/10 45
1/4/1/9 44
1/4/2/8 52
1/4/3/7 54
1/4/4/6 52
1/4/5/5 40
1/4/6/4 60
1/4/7/3 58
1/4/8/2 50
1/4/9/1 52
1/4/10/0 41
1/3/0/11 38
1/3/1/10 34
1/3/2/9 43
1/3/3/8 53
1/3/4/7 44
1/3/5/6 52
1/3/6/5 57
1/3/7/4 55
1/3/8/3 66
1/3/9/2 52
1/3/10/1 45
1/3/11/0 40
1/2/0/12 29
1/2/1/11 34
1/2/2/10 42
1/2/3/9 42
1/2/4/8 48
1/2/5/7 51
1/2/6/6 52
1/2/7/5 70
1/2/8/4 45
1/2/9/3 55
1/2/10/2 50
1/2/11/1 54
1/2/12/0 40
1/1/0/13 15
1/1/1/12 26
1/1/2/11 29
1/1/3/10 33
1/1/4/9 32
1/1/5/8 42
1/1/6/7 44
1/1/7/6 43
1/1/8/5 47
1/1/9/4 55
1/1/10/3 55
1/1/11/2 65
1/1/12/1 54
1/1/13/0 54
1/0/0/14 0
1/0/1/13 3
1/0/2/12 12
1/0/3/11 10
1/0/4/10 14
1/0/5/9 20
1/0/6/8 28
1/0/7/7 33
1/0/8/6 34
1/0/9/5 31
1/0/10/4 40
1/0/11/3 42
1/0/12/2 50
1/0/13/1 51
1/0/14/0 49
0/15/0/0 3
0/14/0/1 19
0/14/1/0 5
0/13/0/2 13
0/13/1/1 28
0/13/2/0 10
0/12/0/3 26
0/12/1/2 34
0/12/2/1 19
0/12/3/0 14
0/11/0/4 24
0/11/1/3 31
0/11/2/2 48
0/11/3/1 24
0/11/4/0 17
0/10/0/5 16
0/10/1/4 51
0/10/2/3 31
0/10/3/2 31
0/10/4/1 36
0/10/5/0 20
0/9/0/6 31
0/9/1/5 37
0/9/2/4 36
0/9/3/3 47
0/9/4/2 30
0/9/5/1 40
0/9/6/0 27
0/8/0/7 42
0/8/1/6 25
0/8/2/5 49
0/8/3/4 53
0/8/4/3 66
0/8/5/2 35
0/8/6/1 46
0/8/7/0 31
0/7/0/8 39
0/7/1/7 45
0/7/2/6 51
0/7/3/5 45
0/7/4/4 53
0/7/5/3 44
0/7/6/2 54
0/7/7/1 41
0/7/8/0 33
0/6/0/9 47
0/6/1/8 61
0/6/2/7 51
0/6/3/6 53
0/6/4/5 64
0/6/5/4 45
0/6/6/3 67
0/6/7/2 51
0/6/8/1 46
0/6/9/0 38
0/5/0/10 38
0/5/1/9 41
0/5/2/8 42
0/5/3/7 60
0/5/4/6 42
0/5/5/5 56
0/5/6/4 51
0/5/7/3 52
0/5/8/2 42
0/5/9/1 59
0/5/10/0 36
0/4/0/11 34
0/4/1/10 40
0/4/2/9 41
0/4/3/8 53
0/4/4/7 44
RBCH P
0/4/5/6 55
0/4/6/5 51
0/4/7/4 57
0/4/8/3 60
0/4/9/2 65
0/4/10/1 41
0/4/11/0 42
0/3/0/12 39
0/3/1/11 49
0/3/2/10 50
0/3/3/9 38
0/3/4/8 60
0/3/5/7 59
0/3/6/6 60
0/3/7/5 55
0/3/8/4 62
0/3/9/3 54
0/3/10/2 50
0/3/11/1 56
0/3/12/0 48
0/2/0/13 34
0/2/1/12 30
0/2/2/11 37
0/2/3/10 34
0/2/4/9 45
0/2/5/8 39
0/2/6/7 60
0/2/7/6 62
0/2/8/5 54
0/2/9/4 54
0/2/10/3 70
0/2/11/2 56
0/2/12/1 55
0/2/13/0 52
0/1/0/14 19
0/1/1/13 12
0/1/2/12 27
0/1/3/11 30
0/1/4/10 35
0/1/5/9 37
0/1/6/8 37
0/1/7/7 47
0/1/8/6 65
0/1/9/5 47
0/1/10/4 44
0/1/11/3 56
0/1/12/2 60
0/1/13/1 61
0/1/14/0 53
0/0/0/15 0
0/0/1/14 5
0/0/2/13 7
0/0/3/12 11
0/0/4/11 17
0/0/5/10 26
0/0/6/9 24
0/0/7/8 37
0/0/8/7 32
0/0/9/6 35
0/0/10/5 45
0/0/11/4 45
0/0/12/3 49
0/0/13/2 43
0/0/14/1 45
0/0/15/0 55
