RBCH P
7/0/0/0 0
6/1/0/0 0
6/0/0/1 0
6/0/1/0 5
5/2/0/0 0
5/1/0/1 12
5/1/1/0 5
5/0/0/2 0
5/0/1/1 6
5/0/2/0 10
4/3/0/0 0
4/2/0/1 8
4/2/1/0 6
4/1/0/2 17
4/1/1/1 20
4/1/2/0 12
4/0/0/3 0
4/0/1/2 6
4/0/2/1 9
4/0/3/0 14
3/4/0/0 0
3/3/0/1 13
3/3/1/0 4
3/2/0/2 12
3/2/1/1 20
3/2/2/0 9
3/1/0/3 14
3/1/1/2 17
3/1/2/1 17
3/1/3/0 15
3/0/0/4 0
3/0/1/3 7
3/0/2/2 10
3/0/3/1 16
3/0/4/0 19
2/5/0/0 1
2/4/0/1 18
2/4/1/0 4
2/3/0/2 24
2/3/1/1 23
2/3/2/0 10
2/2/0/3 20
2/2/1/2 32
2/2/2/1 25
2/2/3/0 14
2/1/0/4 20
2/1/1/3 17
2/1/2/2 25
2/1/3/1 21
2/1/4/0 16
2/0/0/5 0
2/0/1/4 4
2/0/2/3 11
2/0/3/2 16
2/0/4/1 20
2/0/5/0 19
1/6/0/0 0
1/5/0/1 12
1/5/1/0 6
1/4/0/2 27
1/4/1/1 32
1/4/2/0 9
1/3/0/3 32
1/3/1/2 27
1/3/2/1 23
1/3/3/0 15
1/2/0/4 17
1/2/1/3 22
1/2/2/2 26
1/2/3/1 20
1/2/4/0 21
1/1/0/5 14
1/1/1/4 24
1/1/2/3 31
1/1/3/2 28
1/1/4/1 29
1/1/5/0 22
1/0/0/6 0
1/0/1/5 8
1/0/2/4 11
1/0/3/3 15
1/0/4/2 20
1/0/5/1 27
1/0/6/0 24
0/7/0/0 0
0/6/0/1 25
0/6/1/0 5
0/5/0/2 30
0/5/1/1 32
0/5/2/0 10
0/4/0/3 18
0/4/1/2 40
0/4/2/1 23
0/4/3/0 14
0/3/0/4 30
0/3/1/3 33
0/3/2/2 29
0/3/3/1 30
0/3/4/0 17
0/2/0/5 26
0/2/1/4 32
0/2/2/3 25
0/2/3/2 28
0/2/4/1 37
0/2/5/0 24
0/1/0/6 22
0/1/1/5 29
0/1/2/4 29
0/1/3/3 39
0/1/4/2 31
0/1/5/1 35
0/1/6/0 30
0/0/0/7 0
0/0/1/6 5
0/0/2/5 11
0/0/3/4 17
0/0/4/3 17
0/0/5/2 25
0/0/6/1 24
0/0/7/0 31
