RBCH P
6/0/0/0 0
5/1/0/0 0
5/0/0/1 0
5/0/1/0 5
4/2/0/0 0
4/1/0/1 15
4/1/1/0 4
4/0/0/2 0
4/0/1/1 4
4/0/2/0 8
3/3/0/0 0
3/2/0/1 17
3/2/1/0 5
3/1/0/2 18
3/1/1/1 20
3/1/2/0 9
3/0/0/3 0
3/0/1/2 6
3/0/2/1 12
3/0/3/0 12
2/4/0/0 0
2/3/0/1 20
2/3/1/0 6
2/2/0/2 23
2/2/1/1 19
2/2/2/0 10
2/1/0/3 19
2/1/1/2 20
2/1/2/1 19
2/1/3/0 16
2/0/0/4 0
2/0/1/3 4
2/0/2/2 9
2/0/3/1 11
2/0/4/0 18
1/5/0/0 0
1/4/0/1 21
1/4/1/0 4
1/3/0/2 31
1/3/1/1 24
1/3/2/0 8
1/2/0/3 27
1/2/1/2 31
1/2/2/1 28
1/2/3/0 13
1/1/0/4 17
1/1/1/3 31
1/1/2/2 22
1/1/3/1 27
1/1/4/0 19
1/0/0/5 0
1/0/1/4 5
1/0/2/3 8
1/0/3/2 17
1/0/4/1 24
1/0/5/0 19
0/6/0/0 0
0/5/0/1 26
0/5/1/0 5
0/4/0/2 36
0/4/1/1 14
0/4/2/0 10
0/3/0/3 36
0/3/1/2 34
0/3/2/1 26
0/3/3/0 15
0/2/0/4 28
0/2/1/3 35
0/2/2/2 34
0/2/3/1 40
0/2/4/0 19
0/1/0/5 21
0/1/1/4 26
0/1/2/3 21
0/1/3/2 23
0/1/4/1 32
0/1/5/0 22
0/0/0/6 0
0/0/1/5 4
0/0/2/4 10
0/0/3/3 16
0/0/4/2 20
0/0/5/1 25
0/0/6/0 28
